table,constraint,column,parent,prt_col
address_useraddress,address_useraddress_country_id_fa26a249_fk_address_c,country_id,address_country,iso_3166_1_a2
address_useraddress,address_useraddress_user_id_6edf0244_fk_ecommerce_user_id,user_id,ecommerce_user,id
analytics_productrecord,analytics_productrec_product_id_dad3a871_fk_catalogue,product_id,catalogue_product,id
analytics_userproductview,analytics_userproduc_product_id_a55b87ad_fk_catalogue,product_id,catalogue_product,id
analytics_userproductview,analytics_userproductview_user_id_5e49a8b1_fk_ecommerce_user_id,user_id,ecommerce_user,id
analytics_userrecord,analytics_userrecord_user_id_702cff4c_fk_ecommerce_user_id,user_id,ecommerce_user,id
analytics_usersearch,analytics_usersearch_user_id_1775992d_fk_ecommerce_user_id,user_id,ecommerce_user,id
basket_basket,basket_basket_owner_id_3a018de5_fk_ecommerce_user_id,owner_id,ecommerce_user,id
basket_basket,basket_basket_site_id_c45bd035_fk_django_site_id,site_id,django_site,id
basket_basket_vouchers,basket_basket_vouchers_basket_id_f857c2f8_fk_basket_basket_id,basket_id,basket_basket,id
basket_basket_vouchers,basket_basket_vouchers_voucher_id_c2b66981_fk_voucher_voucher_id,voucher_id,voucher_voucher,id
basket_basketattribute,basket_basketattribu_attribute_type_id_822adc5d_fk_basket_ba,attribute_type_id,basket_basketattributetype,id
basket_basketattribute,basket_basketattribute_basket_id_55c452f8_fk_basket_basket_id,basket_id,basket_basket,id
basket_line,basket_line_basket_id_b615c905_fk_basket_basket_id,basket_id,basket_basket,id
basket_line,basket_line_product_id_303d743e_fk_catalogue_product_id,product_id,catalogue_product,id
basket_line,basket_line_stockrecord_id_7039d8a4_fk_partner_stockrecord_id,stockrecord_id,partner_stockrecord,id
basket_lineattribute,basket_lineattribute_line_id_c41e0cdf_fk_basket_line_id,line_id,basket_line,id
basket_lineattribute,basket_lineattribute_option_id_9387a3f7_fk_catalogue_option_id,option_id,catalogue_option,id
catalogue_attributeoption,catalogue_attributeo_group_id_3d4a5e24_fk_catalogue,group_id,catalogue_attributeoptiongroup,id
catalogue_catalog,catalogue_catalog_partner_id_eeba0b62_fk_partner_partner_id,partner_id,partner_partner,id
catalogue_catalog_stock_records,catalogue_catalog_st_catalog_id_8fa6c918_fk_catalogue,catalog_id,catalogue_catalog,id
catalogue_catalog_stock_records,catalogue_catalog_st_stockrecord_id_e480f401_fk_partner_s,stockrecord_id,partner_stockrecord,id
catalogue_product,catalogue_product_course_id_1918bc6b_fk_courses_course_id,course_id,courses_course,id
catalogue_product,catalogue_product_parent_id_9bfd2382_fk_catalogue_product_id,parent_id,catalogue_product,id
catalogue_product,catalogue_product_product_class_id_0c6c5b54_fk_catalogue,product_class_id,catalogue_productclass,id
catalogue_product_product_options,catalogue_product_pr_option_id_ff470e13_fk_catalogue,option_id,catalogue_option,id
catalogue_product_product_options,catalogue_product_pr_product_id_ad2b46bd_fk_catalogue,product_id,catalogue_product,id
catalogue_productattribute,catalogue_productatt_option_group_id_6b422dc2_fk_catalogue,option_group_id,catalogue_attributeoptiongroup,id
catalogue_productattribute,catalogue_productatt_product_class_id_7af808ec_fk_catalogue,product_class_id,catalogue_productclass,id
catalogue_productattributevalue,catalogue_productatt_attribute_id_0287c1e7_fk_catalogue,attribute_id,catalogue_productattribute,id
catalogue_productattributevalue,catalogue_productatt_product_id_a03cd90e_fk_catalogue,product_id,catalogue_product,id
catalogue_productattributevalue,catalogue_productatt_value_option_id_21026066_fk_catalogue,value_option_id,catalogue_attributeoption,id
catalogue_productattributevalue_value_multi_option,catalogue_productatt_attributeoption_id_962b600b_fk_catalogue,attributeoption_id,catalogue_attributeoption,id
catalogue_productattributevalue_value_multi_option,catalogue_productatt_productattributevalu_9c7c031e_fk_catalogue,productattributevalue_id,catalogue_productattributevalue,id
catalogue_productcategory,catalogue_productcat_category_id_176db535_fk_catalogue,category_id,catalogue_category,id
catalogue_productcategory,catalogue_productcat_product_id_846a4061_fk_catalogue,product_id,catalogue_product,id
catalogue_productclass_options,catalogue_productcla_option_id_b099542c_fk_catalogue,option_id,catalogue_option,id
catalogue_productclass_options,catalogue_productcla_productclass_id_732df4c8_fk_catalogue,productclass_id,catalogue_productclass,id
catalogue_productimage,catalogue_productima_product_id_49474fe8_fk_catalogue,product_id,catalogue_product,id
catalogue_productrecommendation,catalogue_productrec_primary_id_6e51a55c_fk_catalogue,primary_id,catalogue_product,id
catalogue_productrecommendation,catalogue_productrec_recommendation_id_daf8ae95_fk_catalogue,recommendation_id,catalogue_product,id
communication_email,communication_email_user_id_a6eae16a_fk_ecommerce_user_id,user_id,ecommerce_user,id
communication_notification,communication_notifi_recipient_id_2f83b142_fk_ecommerce,recipient_id,ecommerce_user,id
communication_notification,communication_notifi_sender_id_f1fdd4c8_fk_ecommerce,sender_id,ecommerce_user,id
core_ecommercefeatureroleassignment,core_ecommercefeatur_role_id_e8057cdb_fk_core_ecom,role_id,core_ecommercefeaturerole,id
core_ecommercefeatureroleassignment,core_ecommercefeatur_user_id_f692628b_fk_ecommerce,user_id,ecommerce_user,id
core_siteconfiguration,core_siteconfiguration_partner_id_75739217_fk_partner_partner_id,partner_id,partner_partner,id
core_siteconfiguration,core_siteconfiguration_site_id_3124a87d_fk_django_site_id,site_id,django_site,id
courses_course,courses_course_partner_id_a64c9b38_fk_partner_partner_id,partner_id,partner_partner,id
courses_course,courses_course_site_id_af38aac5_fk_django_site_id,site_id,django_site,id
customer_productalert,customer_productaler_product_id_7e529a41_fk_catalogue,product_id,catalogue_product,id
