model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,id,AutoField,core_siteconfiguration,,,True,,False,False,,,,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,site,OneToOneField,core_siteconfiguration,,,False,,True,False,django_site,,,CASCADE,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,partner,ForeignKey,core_siteconfiguration,,,False,,False,False,partner_partner,,,CASCADE,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,lms_url_root,URLField,core_siteconfiguration,,,False,200,False,False,,,,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,theme_scss_path,CharField,core_siteconfiguration,,,False,255,False,True,,,,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,payment_processors,CharField,core_siteconfiguration,,,False,255,False,False,,,,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,client_side_payment_processor,CharField,core_siteconfiguration,,,False,255,False,True,,,,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,oauth_settings,JSONField,core_siteconfiguration,,,False,,False,False,,,{},,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,segment_key,CharField,core_siteconfiguration,,,False,255,False,True,,,,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,from_email,CharField,core_siteconfiguration,,,False,255,False,True,,,,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,enable_enrollment_codes,BooleanField,core_siteconfiguration,,,False,,False,False,,,False,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,payment_support_email,CharField,core_siteconfiguration,,,False,255,False,False,,,support@example.com,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,payment_support_url,CharField,core_siteconfiguration,,,False,255,False,False,,,,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,utm_cookie_name,CharField,core_siteconfiguration,,,False,255,False,False,,,,,no,
SiteConfiguration,ecommerce.core.models,core,core_siteconfiguration,affiliate_cookie_name,CharField,core_siteconfiguration,,,False,255,False,False,,,,,no,
