table,constraint,column,parent,prt_col
agreements_integritysignature,agreements_integritysignature_user_id_a4d26f65_fk_auth_user_id,user_id,auth_user,id
api_admin_apiaccessconfig,api_admin_apiaccessconfig_changed_by_id_d2f4cd88_fk_auth_user_id,changed_by_id,auth_user,id
api_admin_apiaccessrequest,api_admin_apiaccessrequest_site_id_b78f5161_fk_django_site_id,site_id,django_site,id
api_admin_apiaccessrequest,api_admin_apiaccessrequest_user_id_eb0cc217_fk_auth_user_id,user_id,auth_user,id
badges_badgeassertion,badges_badgeassertio_badge_class_id_902ac30e_fk_badges_ba,badge_class_id,badges_badgeclass,id
badges_badgeassertion,badges_badgeassertion_user_id_13665630_fk_auth_user_id,user_id,auth_user,id
badges_courseeventbadgesconfiguration,badges_courseeventba_changed_by_id_db04ed01_fk_auth_user,changed_by_id,auth_user,id
block_structure_config,block_structure_config_changed_by_id_45af0b10_fk_auth_user_id,changed_by_id,auth_user,id
bookmarks_bookmark,bookmarks_bookmark_user_id_a26bf17c_fk_auth_user_id,user_id,auth_user,id
bookmarks_bookmark,bookmarks_bookmark_xblock_cache_id_808a7639_fk_bookmarks,xblock_cache_id,bookmarks_xblockcache,id
branding_brandingapiconfig,branding_brandingapi_changed_by_id_bab2730f_fk_auth_user,changed_by_id,auth_user,id
branding_brandinginfoconfig,branding_brandinginf_changed_by_id_616dd172_fk_auth_user,changed_by_id,auth_user,id
bulk_email_bulkemailflag,bulk_email_bulkemailflag_changed_by_id_c510754b_fk_auth_user_id,changed_by_id,auth_user,id
bulk_email_cohorttarget,bulk_email_cohorttar_cohort_id_096f39c9_fk_course_gr,cohort_id,course_groups_courseusergroup,id
bulk_email_courseemail,bulk_email_courseemail_sender_id_865f6979_fk_auth_user_id,sender_id,auth_user,id
bulk_email_coursemodetarget,bulk_email_coursemod_track_id_2b68bb43_fk_course_mo,track_id,course_modes_coursemode,id
bulk_email_optout,bulk_email_optout_user_id_ff6223d6_fk_auth_user_id,user_id,auth_user,id
calendar_sync_usercalendarsyncconfig,calendar_sync_userca_user_id_5dd14ead_fk_auth_user,user_id,auth_user,id
catalog_catalogintegration,catalog_cataloginteg_changed_by_id_cde406de_fk_auth_user,changed_by_id,auth_user,id
certificates_certificateallowlist,certificates_certifi_user_id_6c4d38f7_fk_auth_user,user_id,auth_user,id
certificates_certificatedateoverride,certificates_certifi_generated_certificat_d69ae0ac_fk_certifica,generated_certificate_id,certificates_generatedcertificate,id
certificates_certificatedateoverride,certificates_certifi_overridden_by_id_a0ebad2d_fk_auth_user,overridden_by_id,auth_user,id
certificates_certificategenerationcommandconfiguration,certificates_certifi_changed_by_id_a2950eaa_fk_auth_user,changed_by_id,auth_user,id
certificates_certificategenerationconfiguration,certificates_certifi_changed_by_id_a6d06e99_fk_auth_user,changed_by_id,auth_user,id
certificates_certificategenerationhistory,certificates_certifi_generated_by_id_e9d4b7f2_fk_auth_user,generated_by_id,auth_user,id
certificates_certificategenerationhistory,certificates_certifi_instructor_task_id_8f7176a6_fk_instructo,instructor_task_id,instructor_task_instructortask,id
certificates_certificatehtmlviewconfiguration,certificates_certifi_changed_by_id_bcf656f2_fk_auth_user,changed_by_id,auth_user,id
certificates_certificateinvalidation,certificates_certifi_generated_certificat_31bed498_fk_certifica,generated_certificate_id,certificates_generatedcertificate,id
certificates_certificateinvalidation,certificates_certifi_invalidated_by_id_e3c101f1_fk_auth_user,invalidated_by_id,auth_user,id
certificates_examplecertificate,certificates_example_example_cert_set_id_7e660917_fk_certifica,example_cert_set_id,certificates_examplecertificateset,id
