model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,id,AutoField,api_admin_apiaccessrequest,,,True,,False,False,,,,,no,
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,created,AutoCreatedField,None_timestampedmodel,,,False,,False,False,,,<function now at 0x7f66eb7a84c0>,,no,
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,modified,AutoLastModifiedField,None_timestampedmodel,,,False,,False,False,,,<function now at 0x7f66eb7a84c0>,,no,
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,user,OneToOneField,api_admin_apiaccessrequest,,api_access_request,False,,True,False,auth_user,,,CASCADE,no,
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,status,CharField,api_admin_apiaccessrequest,,,False,255,False,False,,,pending,,no,
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,website,URLField,api_admin_apiaccessrequest,,,False,200,False,False,,,,,no,
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,reason,TextField,api_admin_apiaccessrequest,,,False,,False,False,,,,,no,
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,company_name,CharField,api_admin_apiaccessrequest,,,False,255,False,False,,,,,no,
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,company_address,CharField,api_admin_apiaccessrequest,,,False,255,False,False,,,,,no,
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,site,ForeignKey,api_admin_apiaccessrequest,,,False,,False,False,django_site,,,CASCADE,no,
ApiAccessRequest,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessrequest,contacted,BooleanField,api_admin_apiaccessrequest,,,False,,False,False,,,False,,no,
ApiAccessConfig,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessconfig,id,AutoField,api_admin_apiaccessconfig,,,True,,False,False,,,,,no,
ApiAccessConfig,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessconfig,change_date,DateTimeField,config_models_configurationmodel,,,False,,False,False,,,,,no,2
ApiAccessConfig,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessconfig,changed_by,ForeignKey,api_admin_apiaccessconfig,,,False,,False,True,auth_user,,,PROTECT,no,
ApiAccessConfig,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_apiaccessconfig,enabled,BooleanField,config_models_configurationmodel,,,False,,False,False,,,False,,no,
Catalog,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_catalog,id,IntegerField,api_admin_catalog,,,True,,False,False,,,,,no,
Catalog,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_catalog,name,CharField,api_admin_catalog,,,False,255,False,False,,,,,no,
Catalog,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_catalog,query,TextField,api_admin_catalog,,,False,,False,False,,,,,no,
Catalog,openedx.core.djangoapps.api_admin.models,api_admin,api_admin_catalog,viewers,TextField,api_admin_catalog,,,False,,False,False,,,,,no,
XDomainProxyConfiguration,openedx.core.djangoapps.cors_csrf.models,cors_csrf,cors_csrf_xdomainproxyconfiguration,id,AutoField,cors_csrf_xdomainproxyconfiguration,,,True,,False,False,,,,,no,
XDomainProxyConfiguration,openedx.core.djangoapps.cors_csrf.models,cors_csrf,cors_csrf_xdomainproxyconfiguration,change_date,DateTimeField,config_models_configurationmodel,,,False,,False,False,,,,,no,2
XDomainProxyConfiguration,openedx.core.djangoapps.cors_csrf.models,cors_csrf,cors_csrf_xdomainproxyconfiguration,changed_by,ForeignKey,cors_csrf_xdomainproxyconfiguration,,,False,,False,True,auth_user,,,PROTECT,no,
