table,column
agreements_integritysignature,id
agreements_integritysignature,created
agreements_integritysignature,modified
agreements_integritysignature,course_key
agreements_integritysignature,user_id
announcements_announcement,id
announcements_announcement,content
announcements_announcement,active
api_admin_apiaccessconfig,id
api_admin_apiaccessconfig,change_date
api_admin_apiaccessconfig,enabled
api_admin_apiaccessrequest,id
api_admin_apiaccessrequest,created
api_admin_apiaccessrequest,modified
api_admin_apiaccessrequest,status
api_admin_apiaccessrequest,website
api_admin_apiaccessrequest,reason
api_admin_apiaccessrequest,user_id
api_admin_apiaccessrequest,company_address
api_admin_apiaccessrequest,company_name
api_admin_apiaccessrequest,contacted
api_admin_apiaccessrequest,site_id
badges_badgeassertion,id
badges_badgeassertion,data
badges_badgeassertion,backend
badges_badgeassertion,image_url
badges_badgeassertion,assertion_url
badges_badgeassertion,modified
badges_badgeassertion,created
badges_badgeassertion,badge_class_id
badges_badgeassertion,user_id
badges_badgeclass,id
badges_badgeclass,slug
badges_badgeclass,issuing_component
badges_badgeclass,display_name
badges_badgeclass,course_id
badges_badgeclass,description
badges_badgeclass,criteria
badges_badgeclass,mode
badges_badgeclass,image
badges_badgeclass,badgr_server_slug
badges_coursecompleteimageconfiguration,id
badges_coursecompleteimageconfiguration,mode
badges_coursecompleteimageconfiguration,icon
badges_coursecompleteimageconfiguration,default
badges_courseeventbadgesconfiguration,id
badges_courseeventbadgesconfiguration,change_date
badges_courseeventbadgesconfiguration,enabled
badges_courseeventbadgesconfiguration,courses_completed
badges_courseeventbadgesconfiguration,courses_enrolled
badges_courseeventbadgesconfiguration,course_groups
block_structure,id
block_structure,created
block_structure,modified
block_structure,data_usage_key
block_structure,transformers_schema_version
block_structure,block_structure_schema_version
block_structure,data
block_structure_config,id
block_structure_config,change_date
block_structure_config,enabled
bookmarks_bookmark,id
bookmarks_bookmark,created
bookmarks_bookmark,modified
bookmarks_bookmark,course_key
bookmarks_bookmark,usage_key
bookmarks_bookmark,path
bookmarks_bookmark,user_id
bookmarks_bookmark,xblock_cache_id
bookmarks_xblockcache,id
bookmarks_xblockcache,created
bookmarks_xblockcache,modified
bookmarks_xblockcache,course_key
bookmarks_xblockcache,usage_key
bookmarks_xblockcache,display_name
bookmarks_xblockcache,paths
branding_brandingapiconfig,id
branding_brandingapiconfig,change_date
branding_brandingapiconfig,enabled
branding_brandinginfoconfig,id
branding_brandinginfoconfig,change_date
branding_brandinginfoconfig,enabled
branding_brandinginfoconfig,configuration
bulk_email_bulkemailflag,id
bulk_email_bulkemailflag,change_date
bulk_email_bulkemailflag,enabled
bulk_email_bulkemailflag,require_course_email_auth
bulk_email_cohorttarget,cohort_id
bulk_email_courseauthorization,id
bulk_email_courseauthorization,course_id
bulk_email_courseauthorization,email_enabled
bulk_email_courseemail,id
bulk_email_courseemail,slug
bulk_email_courseemail,subject
bulk_email_courseemail,created
bulk_email_courseemail,modified
bulk_email_courseemail,course_id
bulk_email_courseemail,to_option
bulk_email_courseemailtemplate,id
bulk_email_coursemodetarget,track_id
bulk_email_optout,id
bulk_email_optout,course_id
bulk_email_target,id
bulk_email_target,target_type
calendar_sync_usercalendarsyncconfig,id
calendar_sync_usercalendarsyncconfig,course_key
calendar_sync_usercalendarsyncconfig,enabled
calendar_sync_usercalendarsyncconfig,user_id
calendar_sync_usercalendarsyncconfig,ics_sequence
catalog_catalogintegration,id
catalog_catalogintegration,change_date
catalog_catalogintegration,enabled
catalog_catalogintegration,internal_api_url
catalog_catalogintegration,cache_ttl
catalog_catalogintegration,service_username
catalog_catalogintegration,page_size
catalog_catalogintegration,long_term_cache_ttl
certificates_certificateallowlist,id
certificates_certificateallowlist,created
certificates_certificateallowlist,modified
certificates_certificateallowlist,course_id
certificates_certificateallowlist,allowlist
certificates_certificateallowlist,user_id
certificates_certificatedateoverride,id
certificates_certificatedateoverride,created
certificates_certificatedateoverride,modified
certificates_certificatedateoverride,date
certificates_certificatedateoverride,reason
certificates_certificatedateoverride,generated_certificate_id
certificates_certificatedateoverride,overridden_by_id
certificates_certificategenerationcommandconfiguration,id
certificates_certificategenerationcommandconfiguration,change_date
certificates_certificategenerationcommandconfiguration,enabled
certificates_certificategenerationcommandconfiguration,arguments
certificates_certificategenerationconfiguration,id
certificates_certificategenerationconfiguration,change_date
certificates_certificategenerationconfiguration,enabled
certificates_certificategenerationcoursesetting,id
certificates_certificategenerationcoursesetting,created
certificates_certificategenerationcoursesetting,modified
certificates_certificategenerationcoursesetting,course_key
certificates_certificategenerationcoursesetting,language_specific_templates_enabled
certificates_certificategenerationcoursesetting,self_generation_enabled
certificates_certificategenerationhistory,id
certificates_certificategenerationhistory,created
certificates_certificategenerationhistory,modified
certificates_certificategenerationhistory,course_id
certificates_certificategenerationhistory,is_regeneration
certificates_certificategenerationhistory,generated_by_id
certificates_certificategenerationhistory,instructor_task_id
certificates_certificatehtmlviewconfiguration,id
certificates_certificatehtmlviewconfiguration,change_date
certificates_certificatehtmlviewconfiguration,enabled
certificates_certificatehtmlviewconfiguration,configuration
certificates_certificateinvalidation,id
certificates_certificateinvalidation,created
certificates_certificateinvalidation,modified
certificates_certificateinvalidation,active
certificates_certificateinvalidation,generated_certificate_id
certificates_certificateinvalidation,invalidated_by_id
certificates_certificatetemplate,id
certificates_certificatetemplate,created
certificates_certificatetemplate,modified
certificates_certificatetemplate,name
certificates_certificatetemplate,template
certificates_certificatetemplate,is_active
certificates_certificatetemplateasset,id
certificates_certificatetemplateasset,created
certificates_certificatetemplateasset,modified
certificates_certificatetemplateasset,asset
certificates_examplecertificate,id
certificates_examplecertificate,created
certificates_examplecertificate,modified
certificates_examplecertificate,description
certificates_examplecertificate,uuid
certificates_examplecertificate,access_key
certificates_examplecertificate,full_name
certificates_examplecertificate,template
certificates_examplecertificate,status
certificates_examplecertificate,example_cert_set_id
certificates_examplecertificateset,id
certificates_examplecertificateset,created
certificates_examplecertificateset,modified
certificates_examplecertificateset,course_key
certificates_generatedcertificate,id
certificates_generatedcertificate,course_id
certificates_generatedcertificate,verify_uuid
certificates_generatedcertificate,download_uuid
certificates_generatedcertificate,download_url
certificates_generatedcertificate,grade
certificates_generatedcertificate,key
certificates_generatedcertificate,distinction
certificates_generatedcertificate,status
certificates_generatedcertificate,mode
certificates_generatedcertificate,name
certificates_generatedcertificate,created_date
certificates_generatedcertificate,modified_date
certificates_generatedcertificate,error_reason
certificates_generatedcertificate,user_id
commerce_commerceconfiguration,id
commerce_commerceconfiguration,change_date
commerce_commerceconfiguration,enabled
commerce_commerceconfiguration,checkout_on_ecommerce_service
commerce_commerceconfiguration,cache_ttl
commerce_commerceconfiguration,receipt_page
commerce_commerceconfiguration,enable_automatic_refund_approval
commerce_commerceconfiguration,basket_checkout_page
content_libraries_contentlibrary,id
content_libraries_contentlibrary,slug
content_libraries_contentlibrary,bundle_uuid
content_libraries_contentlibrary,allow_public_learning
content_libraries_contentlibrary,allow_public_read
content_libraries_contentlibrary,org_id
content_libraries_contentlibrary,type
content_libraries_contentlibrary,license
content_libraries_contentlibraryblockimporttask,id
content_libraries_contentlibraryblockimporttask,state
content_libraries_contentlibraryblockimporttask,progress
content_libraries_contentlibraryblockimporttask,course_id
content_libraries_contentlibraryblockimporttask,created_at
content_libraries_contentlibraryblockimporttask,updated_at
content_libraries_contentlibraryblockimporttask,library_id
content_libraries_contentlibrarypermission,id
content_libraries_contentlibrarypermission,library_id
content_libraries_ltigradedresource,id
content_libraries_ltigradedresource,usage_key
content_libraries_ltigradedresource,resource_id
content_libraries_ltigradedresource,ags_lineitem
content_libraries_ltigradedresource,profile_id
content_libraries_ltiprofile,id
content_libraries_ltiprofile,platform_id
content_libraries_ltiprofile,client_id
content_libraries_ltiprofile,subject_id
content_libraries_ltiprofile,created_at
content_type_gating_contenttypegatingconfig,id
content_type_gating_contenttypegatingconfig,change_date
contentserver_cdnuseragentsconfig,id
contentserver_cdnuseragentsconfig,change_date
contentserver_cdnuseragentsconfig,enabled
contentserver_cdnuseragentsconfig,cdn_user_agents
contentserver_courseassetcachettlconfig,id
contentserver_courseassetcachettlconfig,change_date
contentserver_courseassetcachettlconfig,enabled
contentserver_courseassetcachettlconfig,cache_ttl
contentstore_videouploadconfig,id
contentstore_videouploadconfig,change_date
contentstore_videouploadconfig,enabled
contentstore_videouploadconfig,profile_whitelist
cors_csrf_xdomainproxyconfiguration,id
cors_csrf_xdomainproxyconfiguration,change_date
cors_csrf_xdomainproxyconfiguration,enabled
cors_csrf_xdomainproxyconfiguration,whitelist
course_action_state_coursererunstate,id
course_action_state_coursererunstate,created_time
course_action_state_coursererunstate,updated_time
course_action_state_coursererunstate,course_key
course_action_state_coursererunstate,action
course_action_state_coursererunstate,state
course_action_state_coursererunstate,should_display
course_action_state_coursererunstate,message
course_action_state_coursererunstate,source_course_key
course_action_state_coursererunstate,display_name
course_apps_courseappstatus,id
course_apps_courseappstatus,created
course_apps_courseappstatus,modified
course_apps_courseappstatus,app_id
course_apps_courseappstatus,enabled
course_apps_courseappstatus,course_key
course_creators_coursecreator,id
course_creators_coursecreator,state_changed
course_creators_coursecreator,state
course_creators_coursecreator,note
course_creators_coursecreator,user_id
course_creators_coursecreator,all_organizations
course_date_signals_selfpacedrelativedatesconfig,id
course_date_signals_selfpacedrelativedatesconfig,change_date
course_duration_limits_coursedurationlimitconfig,id
course_duration_limits_coursedurationlimitconfig,change_date
course_goals_coursegoal,id
course_goals_coursegoal,course_key
course_goals_coursegoal,goal_key
course_goals_coursegoal,user_id
course_goals_coursegoal,days_per_week
course_goals_coursegoal,subscribed_to_reminders
course_goals_coursegoalreminderstatus,id
course_goals_coursegoalreminderstatus,created
course_goals_coursegoalreminderstatus,modified
course_goals_coursegoalreminderstatus,email_reminder_sent
course_goals_coursegoalreminderstatus,goal_id
course_goals_useractivity,id
course_goals_useractivity,course_key
course_goals_useractivity,date
course_goals_useractivity,user_id
course_groups_cohortmembership,id
course_groups_cohortmembership,course_id
course_groups_cohortmembership,course_user_group_id
course_groups_cohortmembership,user_id
course_groups_coursecohort,id
course_groups_coursecohort,assignment_type
course_groups_coursecohort,course_user_group_id
course_groups_coursecohortssettings,id
course_groups_coursecohortssettings,is_cohorted
course_groups_coursecohortssettings,course_id
course_groups_coursecohortssettings,always_cohort_inline_discussions
course_groups_courseusergroup,id
course_groups_courseusergroup,name
course_groups_courseusergroup,course_id
course_groups_courseusergroup,group_type
course_groups_courseusergrouppartitiongroup,id
course_groups_courseusergrouppartitiongroup,partition_id
course_groups_courseusergrouppartitiongroup,group_id
course_groups_courseusergrouppartitiongroup,created_at
course_groups_courseusergrouppartitiongroup,updated_at
course_groups_courseusergrouppartitiongroup,course_user_group_id
course_groups_unregisteredlearnercohortassignments,id
course_groups_unregisteredlearnercohortassignments,email
course_groups_unregisteredlearnercohortassignments,course_id
course_groups_unregisteredlearnercohortassignments,course_user_group_id
course_home_api_disableprogresspagestackedconfig,id
course_home_api_disableprogresspagestackedconfig,change_date
course_modes_coursemode,id
course_modes_coursemode,course_id
course_modes_coursemode,mode_slug
course_modes_coursemode,mode_display_name
course_modes_coursemode,min_price
course_modes_coursemode,currency
course_modes_coursemode,suggested_prices
course_modes_coursemode,expiration_datetime_is_explicit
course_modes_coursemodeexpirationconfig,id
course_modes_coursemodeexpirationconfig,change_date
course_modes_coursemodeexpirationconfig,enabled
course_modes_coursemodeexpirationconfig,verification_window
course_modes_coursemodesarchive,id
course_modes_coursemodesarchive,course_id
course_modes_coursemodesarchive,mode_slug
course_modes_coursemodesarchive,mode_display_name
course_modes_coursemodesarchive,min_price
course_modes_coursemodesarchive,suggested_prices
course_modes_coursemodesarchive,currency
course_overviews_courseoverview,created
course_overviews_courseoverview,modified
course_overviews_courseoverview,version
course_overviews_courseoverview,id
course_overviews_courseoverview,_location
course_overviews_courseoverview,display_number_with_default
course_overviews_courseoverview,display_org_with_default
course_overviews_courseoverview,course_image_url
course_overviews_courseoverview,certificates_show_before_end
course_overviews_courseoverview,cert_html_view_enabled
course_overviews_courseoverview,has_any_active_web_certificate
course_overviews_courseoverview,cert_name_short
course_overviews_courseoverview,cert_name_long
course_overviews_courseoverview,mobile_available
course_overviews_courseoverview,visible_to_staff_only
course_overviews_courseoverview,_pre_requisite_courses_json
course_overviews_courseoverview,invitation_only
course_overviews_courseoverview,org
course_overviews_courseoverview,self_paced
course_overviews_courseoverview,eligible_for_financial_aid
course_overviews_courseoverview,banner_image_url
course_overviews_courseoverview,allow_proctoring_opt_out
course_overviews_courseoverview,enable_proctored_exams
course_overviews_courseoverviewimageconfig,id
course_overviews_courseoverviewimageconfig,change_date
course_overviews_courseoverviewimageconfig,enabled
course_overviews_courseoverviewimageconfig,small_width
course_overviews_courseoverviewimageconfig,small_height
course_overviews_courseoverviewimageconfig,large_width
course_overviews_courseoverviewimageconfig,large_height
course_overviews_courseoverviewimageset,id
course_overviews_courseoverviewimageset,created
course_overviews_courseoverviewimageset,modified
course_overviews_courseoverviewimageset,small_url
course_overviews_courseoverviewimageset,large_url
course_overviews_courseoverviewimageset,course_overview_id
course_overviews_courseoverviewtab,id
course_overviews_courseoverviewtab,tab_id
course_overviews_courseoverviewtab,course_overview_id
course_overviews_courseoverviewtab,course_staff_only
course_overviews_courseoverviewtab,is_hidden
course_overviews_simulatecoursepublishconfig,id
course_overviews_simulatecoursepublishconfig,change_date
course_overviews_simulatecoursepublishconfig,enabled
course_overviews_simulatecoursepublishconfig,arguments
courseware_coursedynamicupgradedeadlineconfiguration,id
courseware_coursedynamicupgradedeadlineconfiguration,change_date
courseware_coursedynamicupgradedeadlineconfiguration,enabled
courseware_coursedynamicupgradedeadlineconfiguration,course_id
courseware_coursedynamicupgradedeadlineconfiguration,deadline_days
