constraint,table,column,count_composite
activation_key,student_pendingemailchange,activation_key,1
activation_key,student_pendingsecondaryemailchange,activation_key,1
agreements_integritysignature_user_id_course_key_80bb4165_uniq,agreements_integritysignature,"user_id,course_key",2
anonymous_user_id,student_anonymoususerid,anonymous_user_id,1
api_admin_apiaccessrequest_user_id_eb0cc217_uniq,api_admin_apiaccessrequest,user_id,1
asset_slug,certificates_certificatetemplateasset,asset_slug,1
badges_badgeclass_slug_issuing_component_course_id_92cd3912_uniq,badges_badgeclass,"slug,issuing_component,course_id",3
bookmarks_bookmark_user_id_usage_key_61eac24b_uniq,bookmarks_bookmark,"user_id,usage_key",2
bulk_email_courseemail_t_courseemail_id_target_id_e0440acc_uniq,bulk_email_courseemail_targets,"courseemail_id,target_id",2
bulk_email_optout_user_id_course_id_e0e2d6a6_uniq,bulk_email_optout,"user_id,course_id",2
bundle_uuid,content_libraries_contentlibrary,bundle_uuid,1
calendar_sync_usercalend_user_id_course_key_57c343ab_uniq,calendar_sync_usercalendarsyncconfig,"user_id,course_key",2
certificates_certificate_course_id_user_id_660abede_uniq,certificates_certificateallowlist,"course_id,user_id",2
certificates_certificate_organization_id_course_k_88e26c0d_uniq,certificates_certificatetemplate,"organization_id,course_key,mode,language",4
certificates_generatedce_user_id_course_id_fc1bb3ee_uniq,certificates_generatedcertificate,"user_id,course_id",2
completion_blockcompleti_course_key_block_key_use_b15bac54_uniq,completion_blockcompletion,"course_key,block_key,user_id",3
content_libraries_conten_library_id_group_id_3ecc38b9_uniq,content_libraries_contentlibrarypermission,"library_id,group_id",2
content_libraries_conten_library_id_user_id_81babe29_uniq,content_libraries_contentlibrarypermission,"library_id,user_id",2
content_libraries_contentlibrary_org_id_slug_2b964108_uniq,content_libraries_contentlibrary,"org_id,slug",2
content_libraries_ltigra_usage_key_profile_id_20a2f94c_uniq,content_libraries_ltigradedresource,"usage_key,profile_id",2
content_libraries_ltipro_platform_id_client_id_su_9b6cf002_uniq,content_libraries_ltiprofile,"platform_id,client_id,subject_id",3
context_key,learning_sequences_learningcontext,context_key,1
cornerstone_cornerstonel_user_id_course_id_c975cc5f_uniq,cornerstone_cornerstonelearnerdatatransmissionaudit,"user_id,course_id",2
country,embargo_country,country,1
course_action_state_cour_course_key_action_2a8434fb_uniq,course_action_state_coursererunstate,"course_key,action",2
course_creators_coursecr_coursecreator_id_organiz_4c4765a1_uniq,course_creators_coursecreator_organizations,"coursecreator_id,organization_id",2
course_goals_coursegoal_user_id_course_key_052bc0d3_uniq,course_goals_coursegoal,"user_id,course_key",2
course_groups_cohortmembership_user_id_course_id_c247eb7f_uniq,course_groups_cohortmembership,"user_id,course_id",2
course_groups_courseuser_courseusergroup_id_user__694e8c30_uniq,course_groups_courseusergroup_users,"courseusergroup_id,user_id",2
course_groups_courseusergroup_name_course_id_b767231d_uniq,course_groups_courseusergroup,"name,course_id",2
course_groups_unregister_course_id_email_81a9d1db_uniq,course_groups_unregisteredlearnercohortassignments,"course_id,email",2
course_id,bulk_email_courseauthorization,course_id,1
course_id,bulk_email_disabledcourse,course_id,1
course_id,course_groups_coursecohortssettings,course_id,1
course_id,embargo_embargoedcourse,course_id,1
course_key,credit_creditcourse,course_key,1
course_key,embargo_restrictedcourse,course_key,1
course_key,verified_track_content_verifiedtrackcohortedcourse,course_key,1
course_key,verify_student_verificationdeadline,course_key,1
course_modes_coursemode_course_id_mode_slug_curr_56f8e675_uniq,course_modes_coursemode,"course_id,mode_slug,currency",3
course_overview_id,course_overviews_courseoverviewimageset,course_overview_id,1
course_section_sequence_id,learning_sequences_coursesequenceexam,course_section_sequence_id,1
course_user_group_id,course_groups_coursecohort,course_user_group_id,1
course_user_group_id,course_groups_courseusergrouppartitiongroup,course_user_group_id,1
courseware_offlinecomputedgrade_user_id_course_id_18dfd343_uniq,courseware_offlinecomputedgrade,"user_id,course_id",2
courseware_studentfieldo_course_id_field_location_a1f7da25_uniq,courseware_studentfieldoverride,"course_id,field,location,student_id",4
courseware_studentmodule_student_id_module_id_cou_48e8deef_uniq,courseware_studentmodule,"student_id,module_state_key,course_id",3
courseware_xmodulestuden_student_id_field_name_2f3a4ee8_uniq,courseware_xmodulestudentinfofield,"student_id,field_name",2
courseware_xmodulestuden_student_id_module_type_f_1c218850_uniq,courseware_xmodulestudentprefsfield,"student_id,module_type,field_name",3
courseware_xmoduleuserst_usage_id_field_name_e4e34c44_uniq,courseware_xmoduleuserstatesummaryfield,"usage_id,field_name",2
credit_crediteligibility_username_course_id_7906b4c1_uniq,credit_crediteligibility,"username,course_id",2
credit_creditrequest_username_course_id_provi_3b019afe_uniq,credit_creditrequest,"username,course_id,provider_id",3
credit_creditrequirement_namespace_name_course_id_87c301e6_uniq,credit_creditrequirement,"namespace,name,course_id",3
credit_creditrequirement_username_requirement_id_f761eba5_uniq,credit_creditrequirementstatus,"username,requirement_id",2
data_usage_key,block_structure,data_usage_key,1
demographics_userdemographics_user_id_e435d5d5_uniq,demographics_userdemographics,user_id,1
discussion_topic_id,teams_courseteam,discussion_topic_id,1
edx_when_contentdate_policy_id_location_field_a26790ec_uniq,edx_when_contentdate,"policy_id,location,field",3
email,student_allowedauthuser,email,1
embargo_countryaccessrul_restricted_course_id_cou_477b6bb1_uniq,embargo_countryaccessrule,"restricted_course_id,country_id",2
