model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
ProductRecord,oscar.apps.analytics.models,analytics,analytics_productrecord,id,BigAutoField,analytics_productrecord,,,True,,False,False,,,,,no,
ProductRecord,oscar.apps.analytics.models,analytics,analytics_productrecord,product,OneToOneField,analytics_productrecord,,stats,False,,True,False,catalogue_product,,,CASCADE,no,
ProductRecord,oscar.apps.analytics.models,analytics,analytics_productrecord,num_views,PositiveIntegerField,analytics_abstractproductrecord,,,False,,False,False,,,0,,no,
ProductRecord,oscar.apps.analytics.models,analytics,analytics_productrecord,num_basket_additions,PositiveIntegerField,analytics_abstractproductrecord,,,False,,False,False,,,0,,no,
ProductRecord,oscar.apps.analytics.models,analytics,analytics_productrecord,num_purchases,PositiveIntegerField,analytics_abstractproductrecord,,,False,,False,False,,,0,,no,
ProductRecord,oscar.apps.analytics.models,analytics,analytics_productrecord,score,FloatField,analytics_abstractproductrecord,,,False,,False,False,,,0.0,,no,
UserRecord,oscar.apps.analytics.models,analytics,analytics_userrecord,id,BigAutoField,analytics_userrecord,,,True,,False,False,,,,,no,
UserRecord,oscar.apps.analytics.models,analytics,analytics_userrecord,user,OneToOneField,analytics_userrecord,,,False,,True,False,auth_user,,,CASCADE,no,
UserRecord,oscar.apps.analytics.models,analytics,analytics_userrecord,num_product_views,PositiveIntegerField,analytics_abstractuserrecord,,,False,,False,False,,,0,,no,
UserRecord,oscar.apps.analytics.models,analytics,analytics_userrecord,num_basket_additions,PositiveIntegerField,analytics_abstractuserrecord,,,False,,False,False,,,0,,no,
UserRecord,oscar.apps.analytics.models,analytics,analytics_userrecord,num_orders,PositiveIntegerField,analytics_abstractuserrecord,,,False,,False,False,,,0,,no,
UserRecord,oscar.apps.analytics.models,analytics,analytics_userrecord,num_order_lines,PositiveIntegerField,analytics_abstractuserrecord,,,False,,False,False,,,0,,no,
UserRecord,oscar.apps.analytics.models,analytics,analytics_userrecord,num_order_items,PositiveIntegerField,analytics_abstractuserrecord,,,False,,False,False,,,0,,no,
UserRecord,oscar.apps.analytics.models,analytics,analytics_userrecord,total_spent,DecimalField,analytics_abstractuserrecord,,,False,,False,False,,,0.00,,no,
UserRecord,oscar.apps.analytics.models,analytics,analytics_userrecord,date_last_order,DateTimeField,analytics_abstractuserrecord,,,False,,False,True,,,,,no,
UserProductView,oscar.apps.analytics.models,analytics,analytics_userproductview,id,BigAutoField,analytics_userproductview,,,True,,False,False,,,,,no,
UserProductView,oscar.apps.analytics.models,analytics,analytics_userproductview,user,ForeignKey,analytics_userproductview,,,False,,False,False,auth_user,,,CASCADE,no,
UserProductView,oscar.apps.analytics.models,analytics,analytics_userproductview,product,ForeignKey,analytics_userproductview,,,False,,False,False,catalogue_product,,,CASCADE,no,
UserProductView,oscar.apps.analytics.models,analytics,analytics_userproductview,date_created,DateTimeField,analytics_abstractuserproductview,,,False,,False,False,,,,,no,2
UserSearch,oscar.apps.analytics.models,analytics,analytics_usersearch,id,BigAutoField,analytics_usersearch,,,True,,False,False,,,,,no,
UserSearch,oscar.apps.analytics.models,analytics,analytics_usersearch,user,ForeignKey,analytics_usersearch,,,False,,False,False,auth_user,,,CASCADE,no,
UserSearch,oscar.apps.analytics.models,analytics,analytics_usersearch,query,CharField,analytics_abstractusersearch,,,False,255,False,False,,,,,no,
UserSearch,oscar.apps.analytics.models,analytics,analytics_usersearch,date_created,DateTimeField,analytics_abstractusersearch,,,False,,False,False,,,,,no,2
UserAddress,oscar.apps.address.models,address,address_useraddress,id,BigAutoField,address_useraddress,,,True,,False,False,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,title,CharField,address_abstractaddress,,,False,64,False,True,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,first_name,CharField,address_abstractaddress,,,False,255,False,True,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,last_name,CharField,address_abstractaddress,,,False,255,False,False,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,line1,CharField,address_abstractaddress,,,False,255,False,False,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,line2,CharField,address_abstractaddress,,,False,255,False,True,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,line3,CharField,address_abstractaddress,,,False,255,False,True,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,line4,CharField,address_abstractaddress,,,False,255,False,True,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,state,CharField,address_abstractaddress,,,False,255,False,True,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,postcode,UppercaseCharField,address_useraddress,,,False,64,False,True,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,country,ForeignKey,address_useraddress,,,False,,False,False,address_country,,,CASCADE,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,search_text,TextField,address_abstractaddress,,,False,,False,False,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,phone_number,PhoneNumberField,address_useraddress,,,False,128,False,True,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,notes,TextField,order_abstractshippingaddress,,,False,,False,True,,,,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,user,ForeignKey,address_useraddress,,addresses,False,,False,False,auth_user,,,CASCADE,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,is_default_for_shipping,BooleanField,address_abstractuseraddress,,,False,,False,False,,,False,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,is_default_for_billing,BooleanField,address_abstractuseraddress,,,False,,False,False,,,False,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,num_orders_as_shipping_address,PositiveIntegerField,address_abstractuseraddress,,,False,,False,False,,,0,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,num_orders_as_billing_address,PositiveIntegerField,address_abstractuseraddress,,,False,,False,False,,,0,,no,
UserAddress,oscar.apps.address.models,address,address_useraddress,hash,CharField,address_abstractuseraddress,,,False,255,False,False,,,,,no,
