table,column
offer_range,slug
address_country,iso_3166_1_numeric
basket_line,stockrecord_id
offer_conditionaloffer,slug
address_useraddress,phone_number
address_useraddress,title
address_useraddress,first_name
address_useraddress,notes
address_useraddress,line2
address_useraddress,line3
address_useraddress,line4
address_useraddress,state
address_useraddress,postcode
address_useraddress,iso_3166_1_a3
catalogue_productimage,caption
catalogue_product,title
catalogue_product,description
catalogue_category,description
reviews_productreview,name
reviews_productreview,homepage
reviews_productreview,email
offer_condition,type
order_line,partner_name
order_line,status
order_line,partner_line_reference
order_line,partner_line_notes
order_orderdiscount,offer_name
order_orderdiscount,voucher_code
order_orderdiscount,message
order_ordernote,note_type
order_order,shipping_method
order_order,status
order_order,guest_email
order_billingaddress,title
order_billingaddress,first_name
order_billingaddress,line2
order_billingaddress,line3
order_billingaddress,line4
order_billingaddress,state
order_billingaddress,postcode
order_shippingevent,notes
order_shippingaddress,title
order_shippingaddress,first_name
order_shippingaddress,line2
order_shippingaddress,line3
order_shippingaddress,line4
order_shippingaddress,state
order_shippingaddress,postcode

