model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
People,bakerydemo.base.models,base,base_people,person_blog_relationship,ManyToOneRel,base_people,,,,,,,blog_blogpeoplerelationship,ForeignKey,,CASCADE,no,
People,bakerydemo.base.models,base,base_people,id,AutoField,base_people,,,TRUE,,FALSE,FALSE,,,,,no,
People,bakerydemo.base.models,base,base_people,first_name,CharField,base_people,,,FALSE,254,FALSE,FALSE,,,,,no,
People,bakerydemo.base.models,base,base_people,last_name,CharField,base_people,,,FALSE,254,FALSE,FALSE,,,,,no,
People,bakerydemo.base.models,base,base_people,job_title,CharField,base_people,,,FALSE,254,FALSE,FALSE,,,,,no,
People,bakerydemo.base.models,base,base_people,image,ForeignKey,base_people,,+,FALSE,,FALSE,TRUE,wagtailimages_image,,,SET_NULL,no,
People,bakerydemo.base.models,base,base_people,index_entries,TextIDGenericRelation,base_people,,+,FALSE,,FALSE,TRUE,wagtailsearch_indexentry,,,DO_NOTHING,no,
FooterText,bakerydemo.base.models,base,base_footertext,id,AutoField,base_footertext,,,TRUE,,FALSE,FALSE,,,,,no,
FooterText,bakerydemo.base.models,base,base_footertext,body,RichTextField,base_footertext,,,FALSE,,FALSE,FALSE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,searchpromotion,ManyToOneRel,base_standardpage,,,,,,,wagtailsearchpromotions_searchpromotion,ForeignKey,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,formsubmission,ManyToOneRel,base_standardpage,,,,,,,wagtailforms_formsubmission,ForeignKey,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,redirect,ManyToOneRel,base_standardpage,,,,,,,wagtailredirects_redirect,ForeignKey,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,sites_rooted_here,ManyToOneRel,wagtailcore_page,,,,,,,wagtailcore_site,ForeignKey,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,aliases,ManyToOneRel,wagtailcore_page,,,,,,,wagtailcore_page,ForeignKey,,SET_NULL,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,revisions,ManyToOneRel,wagtailcore_page,,,,,,,wagtailcore_pagerevision,ForeignKey,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,group_permissions,ManyToOneRel,wagtailcore_page,,,,,,,wagtailcore_grouppagepermission,ForeignKey,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,view_restrictions,ManyToOneRel,wagtailcore_page,,,,,,,wagtailcore_pageviewrestriction,ForeignKey,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,workflowpage,OneToOneRel,wagtailcore_page,,,,,,,wagtailcore_workflowpage,OneToOneField,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,workflow_states,ManyToOneRel,wagtailcore_page,,,,,,,wagtailcore_workflowstate,ForeignKey,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,wagtail_admin_comments,ManyToOneRel,wagtailcore_page,,,,,,,wagtailcore_comment,ParentalKey,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,subscribers,ManyToOneRel,wagtailcore_page,,,,,,,wagtailcore_pagesubscription,ForeignKey,,CASCADE,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,id,AutoField,wagtailcore_page,,,TRUE,,FALSE,FALSE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,path,CharField,None_mp_node,,,FALSE,255,TRUE,FALSE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,depth,PositiveIntegerField,None_mp_node,,,FALSE,,FALSE,FALSE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,numchild,PositiveIntegerField,None_mp_node,,,FALSE,,FALSE,FALSE,,,0,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,translation_key,UUIDField,wagtailcore_translatablemixin,,,FALSE,32,FALSE,FALSE,,,<function uuid4 at 0x7fb697d39040>,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,locale,ForeignKey,wagtailcore_page,,+,FALSE,,FALSE,FALSE,wagtailcore_locale,,,PROTECT,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,title,CharField,wagtailcore_page,,,FALSE,255,FALSE,FALSE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,draft_title,CharField,wagtailcore_page,,,FALSE,255,FALSE,FALSE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,slug,SlugField,wagtailcore_page,,,FALSE,255,FALSE,FALSE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,content_type,ForeignKey,wagtailcore_page,,pages,FALSE,,FALSE,FALSE,django_content_type,,,set_on_delete,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,live,BooleanField,wagtailcore_page,,,FALSE,,FALSE,FALSE,,,TRUE,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,has_unpublished_changes,BooleanField,wagtailcore_page,,,FALSE,,FALSE,FALSE,,,FALSE,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,url_path,TextField,wagtailcore_page,,,FALSE,,FALSE,FALSE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,owner,ForeignKey,wagtailcore_page,,owned_pages,FALSE,,FALSE,TRUE,auth_user,,,SET_NULL,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,seo_title,CharField,wagtailcore_page,,,FALSE,255,FALSE,FALSE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,show_in_menus,BooleanField,wagtailcore_page,,,FALSE,,FALSE,FALSE,,,FALSE,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,search_description,TextField,wagtailcore_page,,,FALSE,,FALSE,FALSE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,go_live_at,DateTimeField,wagtailcore_page,,,FALSE,,FALSE,TRUE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,expire_at,DateTimeField,wagtailcore_page,,,FALSE,,FALSE,TRUE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,expired,BooleanField,wagtailcore_page,,,FALSE,,FALSE,FALSE,,,FALSE,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,locked,BooleanField,wagtailcore_page,,,FALSE,,FALSE,FALSE,,,FALSE,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,locked_at,DateTimeField,wagtailcore_page,,,FALSE,,FALSE,TRUE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,locked_by,ForeignKey,wagtailcore_page,,locked_pages,FALSE,,FALSE,TRUE,auth_user,,,SET_NULL,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,first_published_at,DateTimeField,wagtailcore_page,,,FALSE,,FALSE,TRUE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,last_published_at,DateTimeField,wagtailcore_page,,,FALSE,,FALSE,TRUE,,,,,no,
StandardPage,bakerydemo.base.models,base,base_standardpage,latest_revision_created_at,DateTimeField,wagtailcore_page,,,FALSE,,FALSE,TRUE,,,,,no,
