table,column,parent,prt_col
address_useraddress,country,address_country,iso_3166_1_a2
address_useraddress,user,auth_user,id
catalogue_productattribute,product_class,catalogue_productclass,id
catalogue_product,parent,catalogue_product,id
catalogue_product,product_class,catalogue_productclass,id
catalogue_attributeoption,group,catalogue_attributeoptiongroup,id
catalogue_productattribute,option_group,catalogue_attributeoptiongroup,id
catalogue_productattributevalue,attribute,catalogue_productattribute,id
catalogue_productattributevalue,product,catalogue_product,id
catalogue_productattributevalue,value_option,catalogue_attributeoption,id
catalogue_productcategory,category,catalogue_category,id
catalogue_productcategory,product,catalogue_product,id
catalogue_productclass_options,productclass,catalogue_productclass,id
catalogue_productclass_options,option,catalogue_option,id
catalogue_productimage,product,catalogue_product,id
catalogue_productrecommendation,primary,catalogue_product,id
catalogue_productrecommendation,recommendation,catalogue_product,id
catalogue_product_product_options,product,catalogue_product,id
catalogue_product_product_options,option,catalogue_option,id
partner_stockalert,stockrecord,partner_stockrecord,id
analytics_userrecord,user,auth_user,id
analytics_usersearch,user,auth_user,id
analytics_userproductview,product,catalogue_product,id
analytics_userproductview,user,auth_user,id
analytics_productrecord,product,catalogue_product,id
partner_partner_users,partner,partner_partner,id
partner_partner_users,user,auth_user,id
partner_partneraddress,country,address_country,iso_3166_1_a2
partner_partneraddress,partner,partner_partner,id
partner_stockrecord,partner,partner_partner,id
partner_stockrecord,product,catalogue_product,id
communication_notification,recipient,auth_user,id
communication_notification,sender,auth_user,id
customer_productalert,product,catalogue_product,id
customer_productalert,user,auth_user,id
basket_lineattribute,line,basket_line,id
basket_lineattribute,option,catalogue_option,id
basket_line,basket,basket_basket,id
basket_line,product,catalogue_product,id
basket_line,stockrecord,partner_stockrecord,id
basket_basket,owner,auth_user,id
order_order,site,django_site,id
order_shippingevent,event_type,order_shippingeventtype,id
order_shippingevent,order,order_order,id
order_paymentevent,event_type,order_paymenteventtype,id
order_paymentevent,order,order_order,id
order_paymentevent,shipping_event,order_shippingevent,id
order_order,shipping_address,order_shippingaddress,id
order_order,user,auth_user,id
order_lineprice,order,order_order,id
order_line,order,order_order,id
order_line,partner,partner_partner,id
order_line,product,catalogue_product,id
order_line,stockrecord,partner_stockrecord,id
order_communicationevent,order,order_order,id
order_billingaddress,country,address_country,iso_3166_1_a2
order_lineattribute,line,order_line,id
order_lineattribute,option,catalogue_option,id
order_lineprice,line,order_line,id
order_order,basket,basket_basket,id
order_order,billing_address,order_billingaddress,id
order_orderdiscount,order,order_order,id
order_ordernote,order,order_order,id
order_ordernote,user,auth_user,id
order_paymenteventquantity,event,order_paymentevent,id
order_paymenteventquantity,line,order_line,id
order_shippingaddress,country,address_country,iso_3166_1_a2
order_shippingeventquantity,event,order_shippingevent,id
order_shippingeventquantity,line,order_line,id
offer_range_classes,productclass,catalogue_productclass,id
offer_condition,range,offer_range,id
offer_benefit,range,offer_range,id
offer_conditionaloffer,benefit,offer_benefit,id
offer_conditionaloffer,condition,offer_condition,id
offer_range_classes,range,offer_range,id
offer_range_excluded_products,range,offer_range,id
offer_range_excluded_products,product,catalogue_product,id
offer_range_included_categories,range,offer_range,id
offer_range_included_categories,category,catalogue_category,id
offer_rangeproduct,product,catalogue_product,id
offer_rangeproduct,range,offer_range,id
offer_rangeproductfileupload,range,offer_range,id
offer_rangeproductfileupload,uploaded_by,auth_user,id
voucher_voucher_offers,voucher,voucher_voucher,id
voucher_voucher_offers,conditionaloffer,offer_conditionaloffer,id
voucher_voucherapplication,order,order_order,id
voucher_voucherapplication,user,auth_user,id
voucher_voucherapplication,voucher,voucher_voucher,id
basket_basket_vouchers,basket,basket_basket,id
basket_basket_vouchers,voucher,voucher_voucher,id
catalogue_productattributevalue_value_multi_option,productattributevalue,catalogue_productattributevalue,id
catalogue_productattributevalue_value_multi_option,attributeoption,catalogue_attributeoption,id
order_orderstatuschange,order,order_order,id
communication_email,user,auth_user,id
order_communicationevent,event_type,communication_communicationeventtype,id
offer_conditionaloffer_combinations,from_conditionaloffer,offer_conditionaloffer,id
offer_conditionaloffer_combinations,to_conditionaloffer,offer_conditionaloffer,id
order_surcharge,order,order_order,id
payment_source,source_type,payment_sourcetype,id
payment_bankcard,user,auth_user,id
payment_source,order,order_order,id
payment_transaction,source,payment_source,id
reviews_productreview,product,catalogue_product,id
reviews_productreview,user,auth_user,id
reviews_vote,review,reviews_productreview,id
reviews_vote,user,auth_user,id
shipping_weightband,method,shipping_weightbased,id
shipping_orderanditemcharges_countries,orderanditemcharges,shipping_orderanditemcharges,id
shipping_orderanditemcharges_countries,country,address_country,iso_3166_1_a2
shipping_weightbased_countries,weightbased,shipping_weightbased,id
shipping_weightbased_countries,country,address_country,iso_3166_1_a2
voucher_voucher,voucher_set,voucher_voucherset,id
wishlists_line,wishlist,wishlists_wishlist,id
wishlists_line,product,catalogue_product,id
wishlists_wishlist,owner,auth_user,id
