table,column
address_country,iso_3166_1_a2
address_country,iso_3166_1_a3
address_country,iso_3166_1_numeric
address_country,printable_name
address_country,name
address_country,display_order
address_country,is_shipping_country
address_useraddress,title
address_useraddress,first_name
address_useraddress,last_name
address_useraddress,line1
address_useraddress,line2
address_useraddress,line3
address_useraddress,line4
address_useraddress,state
address_useraddress,postcode
address_useraddress,search_text
address_useraddress,phone_number
address_useraddress,notes
address_useraddress,is_default_for_shipping
address_useraddress,is_default_for_billing
address_useraddress,hash
address_useraddress,date_created
address_useraddress,country_id
address_useraddress,user_id
address_useraddress,id
address_useraddress,num_orders_as_shipping_address
address_useraddress,num_orders_as_billing_address
catalogue_attributeoption,option
catalogue_attributeoption,id
catalogue_attributeoptiongroup,name
catalogue_attributeoptiongroup,id
catalogue_category,path
catalogue_category,depth
catalogue_category,numchild
catalogue_category,name
catalogue_category,description
catalogue_category,slug
catalogue_category,id
catalogue_option,name
catalogue_option,code
catalogue_option,id
catalogue_product,structure
catalogue_product,title
catalogue_product,slug
catalogue_product,description
catalogue_product,date_created
catalogue_product,date_updated
catalogue_product,is_discountable
catalogue_product,id
catalogue_option,type
catalogue_productattribute,name
catalogue_productattribute,code
catalogue_productattribute,type
catalogue_productattribute,required
catalogue_productattribute,id
catalogue_productattributevalue,attribute_id
catalogue_productattributevalue,product_id
catalogue_productattributevalue,id
catalogue_productcategory,category_id
catalogue_productcategory,product_id
catalogue_productcategory,id
catalogue_productclass,name
catalogue_productclass,slug
catalogue_productclass,requires_shipping
catalogue_productclass,track_stock
catalogue_productclass,id
catalogue_productclass_options,productclass_id
catalogue_productclass_options,option_id
catalogue_productclass_options,id
catalogue_productimage,original
catalogue_productimage,caption
catalogue_productimage,display_order
catalogue_productimage,date_created
catalogue_productimage,product_id
catalogue_productimage,id
catalogue_productrecommendation,ranking
catalogue_productrecommendation,primary_id
catalogue_productrecommendation,recommendation_id
catalogue_productrecommendation,id
catalogue_product_product_options,product_id
catalogue_product_product_options,option_id
catalogue_product_product_options,id
catalogue_attributeoption,group_id
analytics_productrecord,num_views
analytics_productrecord,num_basket_additions
analytics_productrecord,num_purchases
analytics_productrecord,score
analytics_productrecord,id
analytics_userproductview,date_created
analytics_userproductview,id
analytics_userrecord,num_product_views
analytics_userrecord,num_basket_additions
analytics_userrecord,num_orders
analytics_userrecord,num_order_lines
analytics_userrecord,num_order_items
analytics_userrecord,total_spent
analytics_userrecord,user_id
analytics_userrecord,id
analytics_usersearch,query
analytics_usersearch,date_created
analytics_usersearch,user_id
analytics_usersearch,id
analytics_userproductview,product_id
analytics_userproductview,user_id
analytics_productrecord,product_id
partner_partner,code
partner_partner,name
partner_partner,id
partner_partner_users,partner_id
partner_partner_users,user_id
partner_partner_users,id
partner_partneraddress,title
