table,column,parent,prt_col
product_category,parent,product_category,id
product_productvariant,product,product_product,id
product_product,product_type,product_producttype,id
product_collectionproduct,collection,product_collection,id
product_collectionproduct,product,product_product,id
account_user,default_billing_address,account_address,id
account_user,default_shipping_address,account_address,id
account_user_addresses,user,account_user,id
account_user_addresses,address,account_address,id
account_user_groups,user,account_user,id
account_user_groups,group,auth_group,id
account_user_user_permissions,user,account_user,id
account_user_user_permissions,permission,auth_permission,id
order_order,shipping_address,account_address,id
order_order,user,account_user,id
discount_sale_categories,sale,discount_sale,id
discount_sale_categories,category,product_category,id
discount_sale_products,sale,discount_sale,id
discount_sale_products,product,product_product,id
order_order,voucher,discount_voucher,id
order_fulfillment,order,order_order,id
order_fulfillmentline,order_line,order_orderline,id
order_fulfillmentline,fulfillment,order_fulfillment,id
order_orderline,order,order_order,id
order_order,billing_address,account_address,id
order_orderline,variant,product_productvariant,id
order_order,shipping_method,shipping_shippingmethod,id
order_orderevent,order,order_order,id
order_orderevent,user,account_user,id
checkout_checkout,user,account_user,id
checkout_checkoutline,variant,product_productvariant,id
account_customernote,customer,account_user,id
account_customernote,user,account_user,id
checkout_checkout,billing_address,account_address,id
checkout_checkout,shipping_address,account_address,id
checkout_checkout,shipping_method,shipping_shippingmethod,id
payment_payment,order,order_order,id
account_customerevent,order,order_order,id
app_app_permissions,permission,auth_permission,id
webhook_webhookevent,webhook,webhook_webhook,id
site_sitesettings,site,django_site,id
menu_menuitem,category,product_category,id
menu_menuitem,collection,product_collection,id
menu_menuitem,menu,menu_menu,id
menu_menuitem,page,page_page,id
menu_menuitem,parent,menu_menuitem,id
site_sitesettings,bottom_menu,menu_menu,id
site_sitesettings,top_menu,menu_menu,id
site_sitesettingstranslation,site_settings,site_sitesettings,id
attribute_attributevaluetranslation,attribute_value,attribute_attributevalue,id
product_categorytranslation,category,product_category,id
product_collectiontranslation,collection,product_collection,id
product_producttranslation,product,product_product,id
product_productvarianttranslation,product_variant,product_productvariant,id
site_sitesettings,company_address,account_address,id
shipping_shippingmethodtranslation,shipping_method,shipping_shippingmethod,id
shipping_shippingmethod,shipping_zone,shipping_shippingzone,id
attribute_attributevalue,attribute,attribute_attribute,id
attribute_attributetranslation,attribute,attribute_attribute,id
checkout_checkout_gift_cards,checkout,checkout_checkout,token
checkout_checkout_gift_cards,giftcard,giftcard_giftcard,id
app_app_permissions,app,app_app,id
app_apptoken,app,app_app,id
webhook_webhook,app,app_app,id
product_digitalcontent,product_variant,product_productvariant,id
product_digitalcontenturl,content,product_digitalcontent,id
product_digitalcontenturl,line,order_orderline,id
attribute_attributeproduct,attribute,attribute_attribute,id
