model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
PluginConfiguration,saleor.plugins.models,plugins,plugins_pluginconfiguration,id,AutoField,plugins_pluginconfiguration,,,True,,False,False,,,,,no,
PluginConfiguration,saleor.plugins.models,plugins,plugins_pluginconfiguration,identifier,CharField,plugins_pluginconfiguration,,,False,128,False,False,,,,,no,
PluginConfiguration,saleor.plugins.models,plugins,plugins_pluginconfiguration,name,CharField,plugins_pluginconfiguration,,,False,128,False,False,,,,,no,
PluginConfiguration,saleor.plugins.models,plugins,plugins_pluginconfiguration,channel,ForeignKey,plugins_pluginconfiguration,,,False,,False,True,channel_channel,,,CASCADE,no,
PluginConfiguration,saleor.plugins.models,plugins,plugins_pluginconfiguration,description,TextField,plugins_pluginconfiguration,,,False,,False,False,,,,,no,
PluginConfiguration,saleor.plugins.models,plugins,plugins_pluginconfiguration,active,BooleanField,plugins_pluginconfiguration,,,False,,False,False,,,False,,no,
PluginConfiguration,saleor.plugins.models,plugins,plugins_pluginconfiguration,configuration,JSONField,plugins_pluginconfiguration,,,False,,False,True,,,<class 'dict'>,,no,
Address,saleor.account.models,account,account_address,user_addresses,ManyToManyRel,account_address,,,,,,,account_user,ManyToManyField,,,no,
Address,saleor.account.models,account,account_address,sitesettings,ManyToOneRel,account_address,,,,,,,site_sitesettings,ForeignKey,,SET_NULL,no,
Address,saleor.account.models,account,account_address,warehouse,ManyToOneRel,account_address,,,,,,,warehouse_warehouse,ForeignKey,,PROTECT,no,
Address,saleor.account.models,account,account_address,id,AutoField,account_address,,,True,,False,False,,,,,no,
Address,saleor.account.models,account,account_address,first_name,CharField,account_address,,,False,256,False,False,,,,,no,
Address,saleor.account.models,account,account_address,last_name,CharField,account_address,,,False,256,False,False,,,,,no,
Address,saleor.account.models,account,account_address,company_name,CharField,account_address,,,False,256,False,False,,,,,no,
Address,saleor.account.models,account,account_address,street_address_1,CharField,account_address,,,False,256,False,False,,,,,no,
Address,saleor.account.models,account,account_address,street_address_2,CharField,account_address,,,False,256,False,False,,,,,no,
Address,saleor.account.models,account,account_address,city,CharField,account_address,,,False,256,False,False,,,,,no,
Address,saleor.account.models,account,account_address,city_area,CharField,account_address,,,False,128,False,False,,,,,no,
Address,saleor.account.models,account,account_address,postal_code,CharField,account_address,,,False,20,False,False,,,,,no,
Address,saleor.account.models,account,account_address,country,CountryField,account_address,,,False,2,False,False,,,,,no,
Address,saleor.account.models,account,account_address,country_area,CharField,account_address,,,False,128,False,False,,,,,no,
Address,saleor.account.models,account,account_address,phone,PossiblePhoneNumberField,account_address,,,False,128,False,False,,,,,no,
User,saleor.account.models,account,account_user,customernote,ManyToOneRel,account_user,,,,,,,account_customernote,ForeignKey,,SET_NULL,no,
User,saleor.account.models,account,account_user,notes,ManyToOneRel,account_user,,,,,,,account_customernote,ForeignKey,,CASCADE,no,
User,saleor.account.models,account,account_user,events,ManyToOneRel,account_user,,,,,,,account_customerevent,ForeignKey,,CASCADE,no,
User,saleor.account.models,account,account_user,staff_notification,OneToOneRel,account_user,,,,,,,account_staffnotificationrecipient,OneToOneField,,CASCADE,no,
User,saleor.account.models,account,account_user,gift_cards,ManyToOneRel,account_user,,,,,,,giftcard_giftcard,ForeignKey,,SET_NULL,no,
User,saleor.account.models,account,account_user,gift_card_events,ManyToOneRel,account_user,,,,,,,giftcard_giftcardevent,ForeignKey,,SET_NULL,no,
User,saleor.account.models,account,account_user,checkouts,ManyToOneRel,account_user,,,,,,,checkout_checkout,ForeignKey,,CASCADE,no,
User,saleor.account.models,account,account_user,export_files,ManyToOneRel,account_user,,,,,,,csv_exportfile,ForeignKey,,CASCADE,no,
User,saleor.account.models,account,account_user,export_csv_events,ManyToOneRel,account_user,,,,,,,csv_exportevent,ForeignKey,,SET_NULL,no,
User,saleor.account.models,account,account_user,orders,ManyToOneRel,account_user,,,,,,,order_order,ForeignKey,,SET_NULL,no,
User,saleor.account.models,account,account_user,wishlist,OneToOneRel,account_user,,,,,,,wishlist_wishlist,OneToOneField,,CASCADE,no,
User,saleor.account.models,account,account_user,id,AutoField,account_user,,,True,,False,False,,,,,no,
User,saleor.account.models,account,account_user,password,CharField,auth_abstractbaseuser,,,False,128,False,False,,,,,no,
User,saleor.account.models,account,account_user,last_login,DateTimeField,auth_abstractbaseuser,,,False,,False,True,,,,,no,
