table,column
attribute_attributevalue,id
product_category,id
attribute_attributevalue,name
product_product,name
product_product,id
attribute_attribute,id
attribute_attribute,name
attribute_attribute,slug
product_productvariant,product_id
product_productvariant,id
product_productvariant,name
attribute_attributevalue,attribute_id
product_producttype,has_variants
product_producttype,id
product_producttype,name
product_producttype,is_shipping_required
product_product,product_type_id
attribute_attributevalue,slug
product_collectionproduct,id
product_collection,id
product_collectionproduct,collection_id
product_collectionproduct,product_id
product_collection,name
product_collection,slug
shipping_shippingmethod,name
shipping_shippingmethod,id
account_user,is_superuser
account_user,email
account_user,is_staff
account_user,is_active
account_user,password
account_user,date_joined
account_user,id
account_address,first_name
account_address,last_name
account_address,company_name
account_address,city
account_address,postal_code
account_address,country
account_address,country_area
account_address,phone
account_address,id
account_user_addresses,user_id
account_user_addresses,address_id
account_user_addresses,id
account_user_groups,user_id
account_user_groups,group_id
account_user_groups,id
account_user_user_permissions,user_id
account_user_user_permissions,permission_id
account_user_user_permissions,id
order_order,created
order_order,tracking_client_id
order_order,token
order_order,id
order_orderline,quantity
order_order,user_email
order_orderline,unit_price_gross_amount
order_orderline,unit_price_net_amount
order_orderline,product_name
order_orderline,id
order_order,total_net_amount
discount_sale,name
discount_sale,type
discount_sale,id
discount_sale_categories,sale_id
discount_sale_categories,category_id
discount_sale_categories,id
discount_sale_products,sale_id
discount_sale_products,product_id
discount_sale_products,id
discount_voucher,type
discount_voucher,used
discount_voucher,discount_value_type
discount_voucher,id
discount_voucher,start_date
discount_voucher,code
order_orderline,is_shipping_required
order_order,shipping_price_gross_amount
order_order,total_gross_amount
order_fulfillmentline,id
order_fulfillment,created
order_fulfillment,tracking_number
order_fulfillment,order_id
order_fulfillment,status
order_fulfillment,id
order_fulfillmentline,order_line_id
order_fulfillmentline,quantity
order_fulfillmentline,fulfillment_id
order_fulfillment,fulfillment_order
order_order,shipping_price_net_amount
order_order,status
order_orderline,order_id
order_orderline,quantity_fulfilled
order_orderevent,id
order_order,display_gross_prices
order_order,customer_note
order_orderevent,date
order_orderevent,type
order_orderevent,order_id
order_order,weight
order_orderline,translated_product_name
order_orderline,tax_rate
order_orderevent,parameters
checkout_checkout,created
checkout_checkout,token
checkout_checkout,last_change
checkout_checkout,email
checkout_checkoutline,quantity
checkout_checkoutline,id
checkout_checkoutline,variant_id
checkout_checkoutline,checkout_id
account_customernote,id
account_address,city_area
account_customernote,date
account_customernote,content
account_customernote,is_public
account_customernote,customer_id
payment_payment,id
payment_payment,charge_status
checkout_checkout,note
payment_payment,gateway
payment_payment,is_active
payment_payment,created
payment_payment,modified
payment_payment,billing_first_name
checkout_checkout,discount_amount
payment_payment,billing_last_name
payment_payment,billing_company_name
payment_payment,billing_address_1
payment_payment,billing_address_2
payment_payment,billing_city
payment_payment,billing_city_area
payment_payment,billing_postal_code
payment_payment,billing_country_code
payment_payment,billing_country_area
payment_payment,billing_email
payment_payment,cc_brand
payment_payment,cc_first_digits
payment_payment,cc_last_digits
payment_payment,extra_data
payment_transaction,created
payment_transaction,is_success
payment_payment,currency
payment_transaction,kind
payment_payment,captured_amount
payment_payment,total
payment_payment,token
payment_transaction,token
payment_transaction,gateway_response
payment_transaction,id
payment_transaction,currency
account_customerevent,date
payment_transaction,payment_id
account_customerevent,type
account_user,first_name
account_customerevent,parameters
account_user,last_name
order_order,checkout_token
payment_transaction,amount
account_customerevent,id
app_app,name
app_app,created
app_app,is_active
app_app,id
app_app_permissions,permission_id
app_app_permissions,id
webhook_webhook,target_url
webhook_webhook,is_active
webhook_webhook,id
app_app_permissions,app_id
webhook_webhook,app_id
webhook_webhookevent,event_type
webhook_webhookevent,webhook_id
webhook_webhookevent,id
site_sitesettings,header_text
site_sitesettings,id
site_sitesettings,description
site_sitesettings,site_id
page_page,created
page_page,id
page_page,is_published
page_page,slug
page_page,title
menu_menu,id
menu_menuitem,name
menu_menuitem,menu_id
menu_menuitem,id
menu_menu,name
site_sitesettings,display_gross_prices
site_sitesettings,include_taxes_in_prices
site_sitesettings,charge_taxes_on_shipping
site_sitesettings,track_inventory_by_default
site_sitesettingstranslation,header_text
site_sitesettingstranslation,description
site_sitesettingstranslation,site_settings_id
site_sitesettingstranslation,id
product_product,charge_taxes
attribute_attributevaluetranslation,id
attribute_attributevaluetranslation,name
attribute_attributevaluetranslation,attribute_value_id
product_categorytranslation,category_id
product_categorytranslation,id
product_collectiontranslation,collection_id
product_collectiontranslation,id
attribute_attributetranslation,name
attribute_attributetranslation,id
product_producttranslation,product_id
attribute_attributetranslation,attribute_id
product_producttranslation,id
product_productvarianttranslation,name
product_productvarianttranslation,product_variant_id
product_productvarianttranslation,id
shipping_shippingzone,id
site_sitesettings,automatic_fulfillment_digital_products
site_sitesettings,default_mail_sender_name
shipping_shippingmethodtranslation,id
shipping_shippingzone,name
