table,column,parent,prt_col
shuup_basket,creator,auth_user,id
shuup_category,parent,shuup_category,id
shuup_order,billing_address,shuup_immutableaddress,id
shuup_order,creator,auth_user,id
shuup_orderline,order,shuup_order,id
shuup_orderline,parent_line,shuup_orderline,id
shuup_orderlinetax,order_line,shuup_orderline,id
shuup_payment,order,shuup_order,id
shuup_productattribute,attribute,shuup_attribute,id
shuup_productattribute,product,shuup_product,id
shuup_productcrosssell,product1,shuup_product,id
shuup_productcrosssell,product2,shuup_product,id
shuup_productmedia,file,filer_file,id
shuup_productmedia,product,shuup_product,id
shuup_productvariationresult,product,shuup_product,id
shuup_productvariationresult,result,shuup_product,id
shuup_productvariationvariable,product,shuup_product,id
shuup_productvariationvariablevalue,variable,shuup_productvariationvariable,id
shuup_savedaddress,address,shuup_mutableaddress,id
shuup_shipment,order,shuup_order,id
shuup_shipmentproduct,product,shuup_product,id
shuup_shipmentproduct,shipment,shuup_shipment,id
shuup_shop,contact_address,shuup_mutableaddress,id
shuup_shopproduct,product,shuup_product,id
shuup_shopproduct,shop,shuup_shop,id
shuup_shopproduct_categories,shopproduct,shuup_shopproduct,id
shuup_shopproduct_categories,category,shuup_category,id
shuup_suppliedproduct,product,shuup_product,id
shuup_personcontact,user,auth_user,id
shuup_suppliedproduct,supplier,shuup_supplier,id
shuup_shop,owner,shuup_contact,id
shuup_shippingmethod_behavior_components,shippingmethod,shuup_shippingmethod,id
shuup_shippingmethod_behavior_components,servicebehaviorcomponent,shuup_servicebehaviorcomponent,id
shuup_shippingmethod,logo,filer_image,file_ptr_id
shuup_shippingmethod,shop,shuup_shop,id
shuup_shipment,supplier,shuup_supplier,id
shuup_serviceprovider,logo,filer_image,file_ptr_id
shuup_savedaddress,owner,shuup_contact,id
shuup_productmedia_shops,productmedia,shuup_productmedia,id
shuup_productmedia_shops,shop,shuup_shop,id
shuup_product,primary_image,shuup_productmedia,id
shuup_product,variation_parent,shuup_product,id
shuup_paymentmethod_behavior_components,paymentmethod,shuup_paymentmethod,id
shuup_paymentmethod_behavior_components,servicebehaviorcomponent,shuup_servicebehaviorcomponent,id
shuup_paymentmethod,logo,filer_image,file_ptr_id
shuup_paymentmethod,shop,shuup_shop,id
shuup_orderlinetax,tax,shuup_tax,id
shuup_orderline,product,shuup_product,id
shuup_orderline,supplier,shuup_supplier,id
shuup_order,customer,shuup_contact,id
shuup_order,modified_by,auth_user,id
shuup_order,payment_method,shuup_paymentmethod,id
shuup_order,shipping_address,shuup_immutableaddress,id
shuup_order,shipping_method,shuup_shippingmethod,id
shuup_order,shop,shuup_shop,id
shuup_order,status,shuup_orderstatus,id
shuup_displayunit,internal_unit,shuup_salesunit,id
shuup_contactgroup_members,contactgroup,shuup_contactgroup,id
shuup_contactgroup_members,contact,shuup_contact,id
shuup_contact,default_billing_address,shuup_mutableaddress,id
shuup_contact,default_payment_method,shuup_paymentmethod,id
shuup_contact,default_shipping_address,shuup_mutableaddress,id
shuup_contact,default_shipping_method,shuup_shippingmethod,id
shuup_contact_shops,contact,shuup_contact,id
shuup_contact_shops,shop,shuup_shop,id
shuup_configurationitem,shop,shuup_shop,id
shuup_category_shops,category,shuup_category,id
shuup_category_shops,shop,shuup_shop,id
