model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,saved_addresses,ManyToOneRel,shuup_mutableaddress,,,,,,,shuup_savedaddress,ForeignKey,,CASCADE,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,supplier_addresses,ManyToOneRel,shuup_mutableaddress,,,,,,,shuup_supplier,ForeignKey,,SET_NULL,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,shop,ManyToOneRel,shuup_mutableaddress,,,,,,,shuup_shop,ForeignKey,,SET_NULL,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,id,AutoField,shuup_mutableaddress,,,True,,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,prefix,CharField,shuup_address,,,False,64,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,name,CharField,shuup_address,,,False,255,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,suffix,CharField,shuup_address,,,False,64,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,name_ext,CharField,shuup_address,,,False,255,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,company_name,CharField,shuup_address,,,False,255,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,tax_number,CharField,shuup_address,,,False,64,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,phone,CharField,shuup_address,,,False,64,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,email,EmailField,shuup_address,,,False,128,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,street,CharField,shuup_address,,,False,255,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,street2,CharField,shuup_address,,,False,255,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,street3,CharField,shuup_address,,,False,255,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,postal_code,CharField,shuup_address,,,False,64,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,city,CharField,shuup_address,,,False,255,False,False,,,,,no,
MutableAddress,shuup.core.models,shuup,shuup_mutableaddress,region_code,CharField,shuup_address,,,False,64,False,False,,,,,no,
