table,column
shuup_supplier,stock_managed
shuup_orderline,verified
shuup_suppliershop,is_approved
shuup_serviceprovider,enabled
default_tax_taxrule,enabled
shuup_orderline,require_verification
shuup_shopproduct,limit_payment_methods
carousel_carousel,use_dot_navigation
carousel_carousel,is_arrows_visible
shuup_shopproduct,limit_shipping_methods
shuup_shopproduct,purchasable
shuup_basket,persistent
shuup_basket,deleted
shuup_basket,finished
shuup_contactgrouppricedisplay,show_pricing
shuup_contact,marketing_permission
shuup_contact,is_active
shuup_mediafolder,visible
shuup_basket,prices_include_tax
simple_supplier_stockcount,stock_managed
shuup_xtheme_themesettings,active
shuup_front_storedbasket,prices_include_tax
shuup_front_storedbasket,finished
shuup_order,marketing_permission
shuup_front_storedbasket,deleted
shuup_order,all_verified
shuup_front_storedbasket,persistent
registration_registrationprofile,activated
shuup_order,require_verification
carousel_carousel,pause_on_hover
shuup_simple_cms_page,render_title
shuup_simple_cms_page,show_child_timestamps
shuup_category,visible_in_menu
shuup_simple_cms_page,deleted
discounts_discount,exclude_selected_category
shuup_gdpr_gdprsettings,enabled
shuup_notify_notification,marked_read
shuup_gdpr_gdprcookiecategory,default_active
shuup_xtheme_adminthemesettings,active
shuup_order,prices_include_tax
shuup_order,deleted
shuup_countrylimitbehaviorcomponent,unavailable_in_european_countries
discounts_discount,active
shuup_countrylimitbehaviorcomponent,available_in_european_countries
shuup_customertaxgroup,enabled
campaigns_contextcondition,active
shuup_gdpr_gdprsettings,skip_consent_on_auth
shuup_product,deleted
campaigns_catalogfilter,active
campaigns_basketcondition,active
campaigns_catalogcampaign,active
campaigns_basketcampaign,active
shuup_attribute,searchable
shuup_supplier,deleted
shuup_supplier,enabled
shuup_tax,enabled
shuup_taxclass,enabled
shuup_shippingmethod,enabled
shuup_shop,maintenance_mode
shuup_shop,prices_include_tax
shuup_productcatalogprice,is_available
shuup_productmedia,purchased
shuup_productmedia,public
shuup_productmedia,enabled
shuup_gdpr_gdprcookiecategory,always_active
shuup_orderstatus,visible_for_customer
shuup_notify_script,enabled
shuup_simple_cms_page,list_children_on_page
shuup_simple_cms_page,visible_in_menu
shuup_orderstatus,is_active
shuup_orderstatus,default
campaigns_coupon,active
campaigns_discountfromproduct,per_line_discount
shuup_paymentmethod,enabled
shuup_displayunit,default
shuup_displayunit,allow_bare_number
shuup_productcatalogprice,id
shuup_productcatalogdiscountedprice,id
shuup_currency,decimal_places
shuup_salesunit,decimals
shuup_productvariationvariablevalue,ordering
shuup_displayunit,decimals
shuup_productvariationvariable,ordering
shuup_counter,id
shuup_counter,value
shuup_persistentcacheentry,id
shuup_basket,id
shuup_basket,product_count
shuup_basket,shop_id
shuup_category,id
shuup_category,status
shuup_category,ordering
shuup_category,visibility
shuup_currency,id
shuup_customertaxgroup,id
shuup_productvariationresult,id
shuup_productvariationresult,status
shuup_productvariationresult,product_id
shuup_productvariationresult,result_id
shuup_productvariationvariable,id
shuup_productvariationvariable,product_id
shuup_productvariationvariablevalue,id
shuup_productvariationvariablevalue,variable_id
shuup_salesunit,id
shuup_mutableaddress,id
shuup_savedaddress,id
shuup_savedaddress,role
shuup_savedaddress,status
shuup_savedaddress,address_id
shuup_savedaddress,owner_id
shuup_shipmentproduct,id
shuup_shipmentproduct,product_id
shuup_shipmentproduct,shipment_id
shuup_shop,id
shuup_shop,status
shuup_shopproduct_categories,id
shuup_shopproduct_categories,shopproduct_id
shuup_shopproduct_categories,category_id
shuup_shopproduct_payment_methods,id
shuup_shopproduct_payment_methods,shopproduct_id
shuup_shopproduct_payment_methods,paymentmethod_id
shuup_shippingmethod,id
shuup_shippingmethod,shop_id
shuup_shippingmethod,tax_class_id
shuup_shopproduct_shipping_methods,id
shuup_shopproduct_shipping_methods,shopproduct_id
shuup_shopproduct_shipping_methods,shippingmethod_id
shuup_suppliedproduct,id
shuup_suppliedproduct,alert_limit
shuup_suppliedproduct,product_id
shuup_suppliedproduct,supplier_id
shuup_taxclass,id
shuup_tax,id
shuup_weightbasedpricerange,id
shuup_weightbasedpricerange,component_id
shuup_shopproduct_suppliers,id
shuup_shopproduct_suppliers,shopproduct_id
shuup_shopproduct_suppliers,supplier_id
shuup_shopproduct_visibility_groups,id
shuup_shopproduct_visibility_groups,shopproduct_id
shuup_shopproduct_visibility_groups,contactgroup_id
shuup_shop_staff_members,id
shuup_shop_staff_members,shop_id
shuup_shop_staff_members,user_id
shuup_shippingmethod_behavior_components,id
shuup_shippingmethod_behavior_components,shippingmethod_id
shuup_shippingmethod_behavior_components,servicebehaviorcomponent_id
shuup_servicebehaviorcomponent,id
shuup_productmedia_shops,id
shuup_productmedia_shops,productmedia_id
shuup_productmedia_shops,shop_id
shuup_paymentmethod_behavior_components,id
shuup_paymentmethod_behavior_components,paymentmethod_id
shuup_paymentmethod_behavior_components,servicebehaviorcomponent_id
shuup_contactgroup_members,id
shuup_contactgroup_members,contactgroup_id
shuup_contactgroup_members,contact_id
shuup_contact_shops,id
shuup_contact_shops,contact_id
shuup_contact_shops,shop_id
shuup_configurationitem,id
shuup_category_shops,id
shuup_category_shops,category_id
shuup_category_shops,shop_id
shuup_category_visibility_groups,id
shuup_category_visibility_groups,category_id
shuup_category_visibility_groups,contactgroup_id
shuup_basket_products,id
shuup_basket_products,basket_id
shuup_basket_products,product_id
shuup_groupavailabilitybehaviorcomponent_groups,id
shuup_groupavailabilitybehaviorcomponent_groups,groupavailabilitybehaviorcomponent_id
shuup_groupavailabilitybehaviorcomponent_groups,contactgroup_id
shuup_companycontact_members,id
shuup_companycontact_members,companycontact_id
shuup_companycontact_members,contact_id
shuup_manufacturer_shops,id
shuup_manufacturer_shops,manufacturer_id
shuup_manufacturer_shops,shop_id
shuup_order,id
shuup_order,payment_status
shuup_order,shipping_status
shuup_order,shop_id
shuup_order,status_id
shuup_order_customer_groups,id
shuup_order_customer_groups,order_id
shuup_order_customer_groups,contactgroup_id
shuup_mediafile,id
shuup_mediafile,file_id
shuup_mediafile_shops,id
shuup_mediafile_shops,mediafile_id
shuup_mediafile_shops,shop_id
shuup_mediafolder_shops,id
shuup_mediafolder_shops,mediafolder_id
shuup_mediafolder_shops,shop_id
shuup_mediafolder,id
shuup_mediafolder,folder_id
shuup_contact,id
shuup_shippingmethod_labels,id
shuup_shippingmethod_labels,shippingmethod_id
shuup_shippingmethod_labels,label_id
shuup_contactgrouppricedisplay,id
shuup_contactgrouppricedisplay,group_id
shuup_label,id
shuup_paymentmethod_labels,id
shuup_paymentmethod_labels,paymentmethod_id
shuup_paymentmethod_labels,label_id
shuup_shop_labels,id
shuup_shop_labels,shop_id
shuup_shop_labels,label_id
shuup_shopproduct,id
shuup_shopproduct,visibility
shuup_shopproduct,visibility_limit
shuup_shopproduct,product_id
shuup_shopproduct,shop_id
shuup_orderline_labels,id
shuup_orderline_labels,orderline_id
shuup_orderline_labels,label_id
shuup_orderline,id
shuup_orderline,ordering
shuup_orderline,type
shuup_orderline,order_id
shuup_supplier,id
shuup_supplier,type
campaigns_basketcampaign,id
campaigns_basketcampaign,shop_id
campaigns_catalogcampaign,id
campaigns_catalogcampaign,shop_id
campaigns_contactgroupsalesrange,id
campaigns_contactgroupsalesrange,group_id
campaigns_contactgroupsalesrange,shop_id
campaigns_couponusage,id
campaigns_couponusage,coupon_id
campaigns_couponusage,order_id
campaigns_basketdiscounteffect,id
campaigns_basketdiscounteffect,campaign_id
campaigns_basketcondition,id
campaigns_catalogfilter,id
campaigns_categoryfilter_categories,id
campaigns_categoryfilter_categories,categoryfilter_id
campaigns_categoryfilter_categories,category_id
campaigns_categoryproductsbasketcondition,operator
campaigns_categoryproductsbasketcondition,quantity
campaigns_categoryproductsbasketcondition_categories,id
campaigns_categoryproductsbasketcondition_categories,categoryproductsbasketcondition_id
campaigns_categoryproductsbasketcondition_categories,category_id
campaigns_categoryproductsbasketcondition_excluded_categories,id
campaigns_categoryproductsbasketcondition_excluded_categories,categoryproductsbasketcondition_id
campaigns_categoryproductsbasketcondition_excluded_categories,category_id
campaigns_contactbasketcondition_contacts,id
campaigns_contactbasketcondition_contacts,contactbasketcondition_id
campaigns_contactbasketcondition_contacts,contact_id
campaigns_contextcondition,id
campaigns_contactcondition_contacts,id
campaigns_contactcondition_contacts,contactcondition_id
campaigns_contactcondition_contacts,contact_id
campaigns_contactgroupbasketcondition_contact_groups,id
campaigns_contactgroupbasketcondition_contact_groups,contactgroupbasketcondition_id
campaigns_contactgroupbasketcondition_contact_groups,contactgroup_id
campaigns_contactgroupcondition_contact_groups,id
campaigns_contactgroupcondition_contact_groups,contactgroupcondition_id
campaigns_contactgroupcondition_contact_groups,contactgroup_id
campaigns_basketlineeffect,id
campaigns_basketlineeffect,campaign_id
campaigns_discountfromcategoryproducts,category_id
campaigns_discountfromproduct_products,id
campaigns_discountfromproduct_products,discountfromproduct_id
campaigns_discountfromproduct_products,product_id
campaigns_freeproductline_products,id
campaigns_freeproductline_products,freeproductline_id
campaigns_freeproductline_products,product_id
campaigns_productdiscounteffect,id
campaigns_productdiscounteffect,campaign_id
campaigns_productfilter_products,id
campaigns_productfilter_products,productfilter_id
campaigns_productfilter_products,product_id
campaigns_productsinbasketcondition,operator
campaigns_productsinbasketcondition,quantity
campaigns_productsinbasketcondition_products,id
campaigns_productsinbasketcondition_products,productsinbasketcondition_id
campaigns_productsinbasketcondition_products,product_id
campaigns_producttypefilter_product_types,id
campaigns_producttypefilter_product_types,producttypefilter_id
campaigns_producttypefilter_product_types,producttype_id
campaigns_catalogfiltercachedshopproduct,id
campaigns_catalogfiltercachedshopproduct,filter_id
campaigns_catalogfiltercachedshopproduct,shop_product_id
campaigns_catalogcampaign_conditions,id
campaigns_catalogcampaign_conditions,catalogcampaign_id
