table,column,count_composite
shuup_attribute,identifier,1
shuup_basket,key,1
shuup_category,identifier,1
shuup_contact,identifier,1
shuup_contactgroup,identifier,1
shuup_currency,code,1
shuup_customertaxgroup,identifier,1
shuup_manufacturer,identifier,1
shuup_order,identifier,1
shuup_order,key,1
shuup_order,reference_number,1
shuup_orderstatus,identifier,1
shuup_payment,payment_identifier,1
shuup_paymentmethod,identifier,1
shuup_product,sku,1
shuup_productmedia,identifier,1
shuup_producttype,identifier,1
shuup_productvariationresult,combination_hash,1
shuup_salesunit,identifier,1
shuup_serviceprovider,identifier,1
shuup_shipment,identifier,1
shuup_shippingmethod,identifier,1
shuup_shop,identifier,1
shuup_shop,domain,1
shuup_supplier,identifier,1
shuup_tax,code,1
shuup_taxclass,identifier,1
shuup_personcontact,user_id,1
shuup_persistentcacheentry,"module, key",2
shuup_orderstatus,"identifier, role",2
shuup_suppliedproduct,"supplier_id, product_id",2
shuup_shopproduct,"shop_id, product_id",2
shuup_productvariationvariablevalue,"variable_id, identifier",2
shuup_productvariationvariable,"product_id, identifier",2
shuup_productpackagelink,"parent_id, child_id",2
shuup_configurationitem,"shop_id, key",2
shuup_producttype_attributes,"producttype_id, attribute_id",2
shuup_contactgroup_members,"contactgroup_id, contact_id",2
shuup_shopproduct_categories,"shopproduct_id, category_id",2
shuup_shopproduct_payment_methods,"shopproduct_id, paymentmethod_id",2
shuup_shopproduct_shipping_methods,"shopproduct_id, shippingmethod_id",2
shuup_shopproduct_suppliers,"shopproduct_id, supplier_id",2
shuup_shopproduct_visibility_groups,"shopproduct_id, contactgroup_id",2
shuup_shop_staff_members,"shop_id, user_id",2
shuup_shippingmethod_behavior_components,"shippingmethod_id, servicebehaviorcomponent_id",2
shuup_productmedia_shops,"productmedia_id, shop_id",2
shuup_paymentmethod_behavior_components,"paymentmethod_id, servicebehaviorcomponent_id",2
shuup_contact_shops,"contact_id, shop_id",2
shuup_category_shops,"category_id, shop_id",2
shuup_category_visibility_groups,"category_id, contactgroup_id",2
shuup_basket_products,"basket_id, product_id",2
shuup_groupavailabilitybehaviorcomponent_groups,"groupavailabilitybehaviorcomponent_id, contactgroup_id",2
shuup_companycontact_members,"companycontact_id, contact_id",2
