table,column,parent,prt_col
wagtailcore_page,owner,auth_user,id
wagtailcore_grouppagepermission,group,auth_group,id
wagtailcore_grouppagepermission,page,wagtailcore_page,id
wagtailcore_pagerevision,page,wagtailcore_page,id
wagtailcore_pagerevision,user,auth_user,id
wagtailcore_pageviewrestriction,page,wagtailcore_page,id
wagtailcore_site,root_page,wagtailcore_page,id
wagtailcore_groupcollectionpermission,collection,wagtailcore_collection,id
wagtailcore_groupcollectionpermission,group,auth_group,id
wagtailcore_groupcollectionpermission,permission,auth_permission,id
wagtailimages_image,uploaded_by_user,auth_user,id
wagtailimages_image,collection,wagtailcore_collection,id
wagtailimages_rendition,image,wagtailimages_image,id
wagtailcore_pageviewrestriction_groups,pageviewrestriction,wagtailcore_pageviewrestriction,id
wagtailcore_pageviewrestriction_groups,group,auth_group,id
base_homepage,featured_section_1,wagtailcore_page,id
base_homepage,featured_section_2,wagtailcore_page,id
base_homepage,featured_section_3,wagtailcore_page,id
base_homepage,hero_cta_link,wagtailcore_page,id
base_homepage,image,wagtailimages_image,id
base_homepage,promo_image,wagtailimages_image,id
base_formfield,page,base_formpage,page_ptr_id
base_formpage,image,wagtailimages_image,id
base_gallerypage,collection,wagtailcore_collection,id
base_gallerypage,image,wagtailimages_image,id
base_people,image,wagtailimages_image,id
base_standardpage,image,wagtailimages_image,id
blog_blogindexpage,image,wagtailimages_image,id
blog_blogpage,image,wagtailimages_image,id
blog_blogpagetag,content_object,blog_blogpage,page_ptr_id
blog_blogpagetag,tag,taggit_tag,id
blog_blogpeoplerelationship,page,blog_blogpage,page_ptr_id
blog_blogpeoplerelationship,people,base_people,id
breads_breadpage,bread_type,breads_breadtype,id
breads_breadpage,image,wagtailimages_image,id
breads_breadpage,origin,breads_country,id
breads_breadsindexpage,image,wagtailimages_image,id
breads_breadpage_ingredients,breadpage,breads_breadpage,page_ptr_id
breads_breadpage_ingredients,breadingredient,breads_breadingredient,id
locations_locationoperatinghours,location,locations_locationpage,page_ptr_id
locations_locationpage,image,wagtailimages_image,id
locations_locationsindexpage,image,wagtailimages_image,id
wagtailcore_page,live_revision,wagtailcore_pagerevision,id
wagtailcore_collectionviewrestriction,collection,wagtailcore_collection,id
wagtailcore_collectionviewrestriction_groups,collectionviewrestriction,wagtailcore_collectionviewrestriction,id
wagtailcore_collectionviewrestriction_groups,group,auth_group,id
wagtailcore_page,locked_by,auth_user,id
wagtailcore_taskstate,workflow_state,wagtailcore_workflowstate,id
wagtailcore_taskstate,page_revision,wagtailcore_pagerevision,id
wagtailcore_taskstate,task,wagtailcore_task,id
wagtailcore_workflowstate,current_task_state,wagtailcore_taskstate,id
wagtailcore_workflowstate,page,wagtailcore_page,id
wagtailcore_workflowstate,requested_by,auth_user,id
wagtailcore_workflowstate,workflow,wagtailcore_workflow,id
wagtailcore_workflowpage,page,wagtailcore_page,id
wagtailcore_workflowpage,workflow,wagtailcore_workflow,id
wagtailcore_workflowtask,task,wagtailcore_task,id
wagtailcore_workflowtask,workflow,wagtailcore_workflow,id
wagtailcore_groupapprovaltask_groups,groupapprovaltask,wagtailcore_groupapprovaltask,task_ptr_id
wagtailcore_groupapprovaltask_groups,group,auth_group,id
wagtailcore_taskstate,finished_by,auth_user,id
wagtailcore_page,locale,wagtailcore_locale,id
wagtailcore_page,alias_of,wagtailcore_page,id
wagtailcore_comment,page,wagtailcore_page,id
wagtailcore_comment,resolved_by,auth_user,id
wagtailcore_comment,revision_created,wagtailcore_pagerevision,id
wagtailcore_comment,user,auth_user,id
wagtailcore_commentreply,comment,wagtailcore_comment,id
wagtailcore_commentreply,user,auth_user,id
wagtailcore_pagesubscription,page,wagtailcore_page,id
wagtailcore_pagesubscription,user,auth_user,id
wagtaildocs_document,uploaded_by_user,auth_user,id
wagtaildocs_document,collection,wagtailcore_collection,id
wagtaildocs_uploadeddocument,uploaded_by_user,auth_user,id
wagtailforms_formsubmission,page,wagtailcore_page,id
wagtailimages_uploadedimage,uploaded_by_user,auth_user,id
wagtailredirects_redirect,redirect_page,wagtailcore_page,id
wagtailredirects_redirect,site,wagtailcore_site,id
wagtailsearchpromotions_searchpromotion,query,wagtailsearch_query,id
wagtailsearchpromotions_searchpromotion,page,wagtailcore_page,id
wagtailsearch_querydailyhits,query,wagtailsearch_query,id
wagtailusers_userprofile,user,auth_user,id
