table,column
wagtailcore_page,depth
wagtailcore_page,numchild
wagtailcore_page,title
wagtailcore_page,slug
wagtailcore_page,live
wagtailcore_page,has_unpublished_changes
wagtailcore_page,url_path
wagtailcore_page,seo_title
wagtailcore_page,show_in_menus
wagtailcore_page,search_description
wagtailcore_page,expired
wagtailcore_page,locked
wagtailcore_page,id
wagtailcore_page,path
wagtailcore_grouppagepermission,permission_type
wagtailcore_grouppagepermission,group_id
wagtailcore_grouppagepermission,page_id
wagtailcore_grouppagepermission,id
wagtailcore_pagerevision,submitted_for_moderation
wagtailcore_pagerevision,created_at
wagtailcore_pagerevision,content_json
wagtailcore_pagerevision,page_id
wagtailcore_pagerevision,id
wagtailcore_pageviewrestriction,password
wagtailcore_pageviewrestriction,page_id
wagtailcore_pageviewrestriction,id
wagtailcore_site,hostname
wagtailcore_site,port
wagtailcore_site,is_default_site
wagtailcore_site,root_page_id
wagtailcore_site,id
wagtailcore_collection,depth
wagtailcore_collection,numchild
wagtailcore_collection,name
wagtailcore_collection,id
wagtailcore_groupcollectionpermission,collection_id
wagtailcore_groupcollectionpermission,group_id
wagtailcore_groupcollectionpermission,permission_id
wagtailcore_groupcollectionpermission,id
wagtailcore_collection,path
wagtailimages_image,title
wagtailimages_image,file
wagtailimages_image,width
wagtailimages_image,height
wagtailimages_image,created_at
wagtailimages_image,collection_id
wagtailimages_image,file_hash
wagtailimages_image,id
wagtailimages_rendition,file
wagtailimages_rendition,width
wagtailimages_rendition,height
wagtailimages_rendition,focal_point_key
wagtailimages_rendition,filter_spec
wagtailimages_rendition,image_id
wagtailimages_rendition,id
wagtailcore_pageviewrestriction_groups,pageviewrestriction_id
wagtailcore_pageviewrestriction_groups,group_id
wagtailcore_pageviewrestriction_groups,id
base_footertext,id
wagtailcore_pageviewrestriction,restriction_type
base_footertext,body
base_formfield,label
base_formfield,field_type
base_formfield,required
base_formfield,choices
base_formfield,default_value
base_formfield,help_text
base_formfield,id
base_formpage,to_address
base_formpage,from_address
base_formpage,subject
