model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
Confirmation,confirmation.models,confirmation,confirmation_confirmation,prereg_user,GenericRel,confirmation_confirmation,,,,,,,zerver_preregistrationuser,GenericRelation,,DO_NOTHING,no,
Confirmation,confirmation.models,confirmation,confirmation_confirmation,id,AutoField,confirmation_confirmation,,,True,,False,False,,,,,no,
Confirmation,confirmation.models,confirmation,confirmation_confirmation,content_type,ForeignKey,confirmation_confirmation,,,False,,False,False,django_content_type,,,CASCADE,no,
Confirmation,confirmation.models,confirmation,confirmation_confirmation,object_id,PositiveIntegerField,confirmation_confirmation,,,False,,False,False,,,,,no,
Confirmation,confirmation.models,confirmation,confirmation_confirmation,date_sent,DateTimeField,confirmation_confirmation,,,False,,False,False,,,,,no,
Confirmation,confirmation.models,confirmation,confirmation_confirmation,confirmation_key,CharField,confirmation_confirmation,,,False,40,False,False,,,,,no,
Confirmation,confirmation.models,confirmation,confirmation_confirmation,expiry_date,DateTimeField,confirmation_confirmation,,,False,,False,False,,,,,no,
Confirmation,confirmation.models,confirmation,confirmation_confirmation,realm,ForeignKey,confirmation_confirmation,,,False,,False,True,zerver_realm,,,CASCADE,no,
Confirmation,confirmation.models,confirmation,confirmation_confirmation,type,PositiveSmallIntegerField,confirmation_confirmation,,,False,,False,False,,,,,no,
Confirmation,confirmation.models,confirmation,confirmation_confirmation,content_object,GenericForeignKey,confirmation_confirmation,,,,,,,,,,,no,
RealmCreationKey,confirmation.models,confirmation,confirmation_realmcreationkey,id,AutoField,confirmation_realmcreationkey,,,True,,False,False,,,,,no,
RealmCreationKey,confirmation.models,confirmation,confirmation_realmcreationkey,creation_key,CharField,confirmation_realmcreationkey,,,False,40,False,False,,,,,no,
RealmCreationKey,confirmation.models,confirmation,confirmation_realmcreationkey,date_created,DateTimeField,confirmation_realmcreationkey,,,False,,False,False,,,<function now at 0x7f8bbb015ee0>,,no,
RealmCreationKey,confirmation.models,confirmation,confirmation_realmcreationkey,presume_email_valid,BooleanField,confirmation_realmcreationkey,,,False,,False,False,,,False,,no,
Realm,zerver.models,zerver,zerver_realm,confirmation,ManyToOneRel,zerver_realm,,,,,,,confirmation_confirmation,ForeignKey,,CASCADE,no,
Realm,zerver.models,zerver,zerver_realm,realmdomain,ManyToOneRel,zerver_realm,,,,,,,zerver_realmdomain,ForeignKey,,CASCADE,no,
Realm,zerver.models,zerver,zerver_realm,realmemoji,ManyToOneRel,zerver_realm,,,,,,,zerver_realmemoji,ForeignKey,,CASCADE,no,
Realm,zerver.models,zerver,zerver_realm,realmfilter,ManyToOneRel,zerver_realm,,,,,,,zerver_realmfilter,ForeignKey,,CASCADE,no,
Realm,zerver.models,zerver,zerver_realm,realmplayground,ManyToOneRel,zerver_realm,,,,,,,zerver_realmplayground,ForeignKey,,CASCADE,no,
Realm,zerver.models,zerver,zerver_realm,realmuserdefault,ManyToOneRel,zerver_realm,,,,,,,zerver_realmuserdefault,ForeignKey,,CASCADE,no,
Realm,zerver.models,zerver,zerver_realm,userprofile,ManyToOneRel,zerver_realm,,,,,,,zerver_userprofile,ForeignKey,,CASCADE,no,
Realm,zerver.models,zerver,zerver_realm,usergroup,ManyToOneRel,zerver_realm,,,,,,,zerver_usergroup,ForeignKey,,CASCADE,no,
Realm,zerver.models,zerver,zerver_realm,preregistrationuser,ManyToOneRel,zerver_realm,,,,,,,zerver_preregistrationuser,ForeignKey,,CASCADE,no,
Realm,zerver.models,zerver,zerver_realm,multiuseinvite,ManyToOneRel,zerver_realm,,,,,,,zerver_multiuseinvite,ForeignKey,,CASCADE,no,
Realm,zerver.models,zerver,zerver_realm,emailchangestatus,ManyToOneRel,zerver_realm,,,,,,,zerver_emailchangestatus,ForeignKey,,CASCADE,no,
