table,column
zerver_huddle,id
zerver_huddle,huddle_hash
zerver_scheduledmessagenotificationemail,id
zerver_scheduledmessagenotificationemail,trigger
zerver_scheduledmessagenotificationemail,scheduled_timestamp
zerver_scheduledmessagenotificationemail,message_id
zerver_scheduledmessagenotificationemail,user_profile_id
zerver_archivedreaction,id
zerver_archivedreaction,emoji_name
zerver_archivedreaction,reaction_type
zerver_archivedreaction,emoji_code
zerver_archivedreaction,message_id
zerver_archivedreaction,user_profile_id
zerver_archivedsubmessage,id
zerver_archivedsubmessage,msg_type
zerver_archivedsubmessage,content
zerver_archivedsubmessage,message_id
zerver_archivedsubmessage,sender_id
zerver_realmuserdefault,id
zerver_realmuserdefault,left_side_userlist
zerver_realmuserdefault,default_language
zerver_realmuserdefault,default_view
zerver_realmuserdefault,dense_mode
zerver_realmuserdefault,fluid_layout_width
zerver_realmuserdefault,high_contrast_mode
zerver_realmuserdefault,translate_emoticons
zerver_realmuserdefault,twenty_four_hour_time
zerver_realmuserdefault,starred_message_counts
zerver_realmuserdefault,color_scheme
zerver_realmuserdefault,demote_inactive_streams
zerver_realmuserdefault,emojiset
zerver_realmuserdefault,enable_stream_desktop_notifications
zerver_realmuserdefault,enable_stream_email_notifications
zerver_realmuserdefault,enable_stream_push_notifications
zerver_realmuserdefault,enable_stream_audible_notifications
zerver_realmuserdefault,notification_sound
zerver_realmuserdefault,wildcard_mentions_notify
zerver_realmuserdefault,enable_desktop_notifications
zerver_realmuserdefault,pm_content_in_desktop_notifications
zerver_realmuserdefault,enable_sounds
zerver_realmuserdefault,enable_offline_email_notifications
zerver_realmuserdefault,message_content_in_email_notifications
zerver_realmuserdefault,enable_offline_push_notifications
zerver_realmuserdefault,enable_online_push_notifications
zerver_realmuserdefault,desktop_icon_count_display
zerver_realmuserdefault,enable_digest_emails
zerver_realmuserdefault,enable_login_emails
zerver_realmuserdefault,enable_marketing_emails
zerver_realmuserdefault,realm_name_in_notifications
zerver_realmuserdefault,presence_enabled
zerver_realmuserdefault,realm_id
zerver_realmuserdefault,email_notifications_batching_period_seconds
zerver_realmuserdefault,enable_drafts_synchronization
zerver_realmuserdefault,send_private_typing_notifications
zerver_realmuserdefault,send_stream_typing_notifications
zerver_realmuserdefault,send_read_receipts
zerver_realmuserdefault,escape_navigates_to_default_view
zerver_archivetransaction,id
zerver_archivetransaction,timestamp
zerver_archivetransaction,restored
zerver_archivetransaction,type
zerver_defaultstream,id
zerver_defaultstream,realm_id
zerver_defaultstream,stream_id
zerver_missedmessageemailaddress,id
zerver_missedmessageemailaddress,email_token
zerver_missedmessageemailaddress,timestamp
zerver_missedmessageemailaddress,times_used
zerver_missedmessageemailaddress,message_id
zerver_missedmessageemailaddress,user_profile_id
zerver_alertword,id
zerver_alertword,word
zerver_alertword,realm_id
zerver_alertword,user_profile_id
zerver_draft,id
zerver_draft,topic
zerver_draft,content
zerver_draft,last_edit_time
zerver_draft,user_profile_id
fts_update_log,id
fts_update_log,message_id
zerver_muteduser,id
zerver_muteduser,date_muted
zerver_muteduser,muted_user_id
zerver_muteduser,user_profile_id
zerver_realmplayground,id
zerver_realmplayground,url_prefix
zerver_realmplayground,name
zerver_realmplayground,pygments_language
zerver_realmplayground,realm_id
third_party_api_results,cache_key
third_party_api_results,value
third_party_api_results,expires
zerver_groupgroupmembership,id
zerver_groupgroupmembership,subgroup_id
zerver_groupgroupmembership,supergroup_id
zerver_scimclient,id
zerver_scimclient,name
zerver_scimclient,realm_id
zerver_realmemoji,id
zerver_realmemoji,name
zerver_realmemoji,realm_id
zerver_realmemoji,deactivated
zerver_realmemoji,is_animated
zerver_pushdevicetoken,id
zerver_pushdevicetoken,kind
zerver_pushdevicetoken,token
zerver_pushdevicetoken,last_updated
zerver_pushdevicetoken,user_id
zerver_realmfilter,id
zerver_realmfilter,pattern
zerver_realmfilter,url_format_string
zerver_realmfilter,realm_id
zerver_realmdomain,id
zerver_realmdomain,domain
zerver_realmdomain,realm_id
zerver_realmdomain,allow_subdomains
zerver_realm,id
zerver_realm,name
zerver_realm,emails_restricted_to_domains
zerver_realm,invite_required
zerver_realm,mandatory_topics
zerver_realm,digest_emails_enabled
zerver_realm,name_changes_disabled
zerver_realm,date_created
zerver_realm,deactivated
zerver_realm,allow_message_editing
zerver_realm,message_content_edit_limit_seconds
zerver_realm,default_language
zerver_realm,string_id
zerver_realm,org_type
zerver_realm,message_retention_days
